Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
106,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,31,1988,24.7,0.40,1.54,0.65,42.1,1.54,0.65,0.13,0.31,13.3,0.00,0.20,0.24,0.40,0.21,0.14,0.01,-0.01,Matches
107,Fabian Delph\Fabian-Delph,eng ENG,MF,Everton,29,1989,13.2,0.00,0.23,0.00,0.0,0.23,0.00,0.00,,29.4,0.00,0.00,0.00,0.01,0.01,0.02,-0.01,-0.01,Matches
108,Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,24,1995,31.1,0.13,0.64,0.16,25.0,0.64,0.16,0.20,0.80,13.4,0.00,0.00,0.00,0.05,0.05,0.08,0.08,0.08,Matches
109,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Watford,25,1994,23.3,0.17,2.70,0.94,34.9,2.70,0.94,0.05,0.14,18.3,0.34,0.04,0.04,0.22,0.19,0.07,-0.05,-0.06,Matches
110,Eric Dier\Eric-Dier,eng ENG,DFMF,Tottenham,25,1994,14.9,0.00,0.54,0.07,12.5,0.54,0.07,0.00,0.00,14.0,0.07,0.00,0.00,0.07,0.07,0.12,-0.07,-0.07,Matches
111,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,26,1993,33.7,0.00,0.86,0.15,17.2,0.86,0.15,0.00,0.00,24.3,0.39,0.00,0.00,0.04,0.04,0.05,-0.04,-0.04,Matches
112,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,28,1991,38.0,0.13,0.79,0.37,46.7,0.79,0.37,0.17,0.36,11.3,0.00,0.00,0.00,0.08,0.08,0.10,0.06,0.06,Matches
113,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,22,1997,30.7,0.10,0.49,0.20,40.0,0.49,0.20,0.20,0.50,7.7,0.00,0.00,0.00,0.05,0.05,0.11,0.05,0.05,Matches
114,Moussa Djenepo\Moussa-Djenepo,ml MLI,MFDF,Southampton,21,1998,10.3,0.19,1.94,0.68,35.0,1.94,0.68,0.10,0.29,17.4,0.00,0.00,0.00,0.26,0.26,0.14,-0.07,-0.07,Matches
115,Matt Doherty\Matt-Doherty,ie IRL,DF,Wolves,27,1992,31.5,0.13,1.08,0.48,44.1,1.08,0.48,0.12,0.27,10.9,0.00,0.00,0.00,0.17,0.17,0.15,-0.04,-0.04,Matches
116,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,26,1993,35.1,0.11,1.77,0.34,19.4,1.77,0.34,0.06,0.33,16.7,0.00,0.00,0.00,0.15,0.15,0.09,-0.04,-0.04,Matches
