Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
82,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,22,1996,26.4,74.1,62.6,11.5,1.21,0.11,12.3,1.52,2.95,0.27,0.00,0.11,0.00,44.1,14.4,15.5,53.6,6.93,1.97,10.0,0.15,57.8,0.11,1.59,1.21,2.39,Matches
83,Tahith Chong\Tahith-Chong,nl NED,FWMF,Manchester Utd,19,1999,0.4,35.0,35.0,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,32.5,2.50,0.00,35.0,0.00,0.00,0.00,0.00,22.5,0.00,2.50,5.00,2.50,Matches
84,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,21,1997,9.9,49.9,48.6,1.31,1.21,0.00,6.57,0.51,0.40,0.00,0.00,0.00,0.00,39.3,4.55,6.06,3.54,42.2,3.43,0.00,0.10,43.2,0.00,0.40,0.81,0.91,Matches
85,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,23,1996,19.5,64.5,62.8,1.74,1.49,0.05,8.72,1.69,0.00,0.00,0.00,0.00,0.00,53.7,4.26,6.56,4.10,56.8,1.59,0.26,0.15,59.8,0.15,0.82,0.36,0.31,Matches
86,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,29,1989,13.2,24.4,22.5,1.89,0.76,0.00,4.39,0.53,0.15,0.00,0.00,0.00,0.00,13.8,3.26,7.35,17.2,3.18,1.82,1.14,0.08,19.2,0.00,0.68,0.15,0.30,Matches
87,Leon Clarke\Leon-Clarke,eng ENG,FWMF,Sheffield Utd,34,1985,0.4,17.5,17.5,0.00,0.00,0.00,5.00,0.00,2.50,0.00,0.00,0.00,0.00,5.00,7.50,5.00,5.00,5.00,2.50,0.00,0.00,12.5,0.00,0.00,0.00,0.00,Matches
88,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Watford,29,1989,10.8,43.4,40.8,2.59,1.30,0.09,6.67,1.30,1.85,0.56,0.09,0.19,0.19,26.1,7.13,10.2,5.00,34.9,2.41,0.46,0.19,33.9,0.28,0.83,0.37,0.93,Matches
89,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,26,1993,38.0,46.9,46.0,0.89,0.87,0.08,5.74,2.61,0.00,0.00,0.00,0.00,0.00,27.9,5.47,13.6,1.79,41.7,2.79,0.03,0.11,40.3,0.08,0.66,0.39,0.39,Matches
90,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,30,1988,20.4,51.9,40.9,10.9,0.64,0.05,8.33,0.74,1.67,0.00,0.00,0.00,0.00,26.5,11.6,13.8,5.78,32.9,2.16,10.3,0.05,39.9,0.15,0.88,1.03,2.25,Matches
91,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,19,2000,14.0,11.6,10.6,1.07,0.00,0.07,3.57,0.00,0.50,0.00,0.00,0.00,0.00,6.43,3.71,1.50,1.93,7.64,0.93,0.07,0.43,9.00,0.00,0.07,0.29,0.71,Matches
92,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,22,1997,15.0,47.9,46.5,1.40,0.80,0.33,8.73,1.20,0.60,0.07,0.00,0.00,0.00,28.9,10.7,8.27,2.73,42.2,1.60,0.47,0.07,37.3,0.33,0.73,0.93,1.60,Matches
93,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,28,1991,27.0,45.3,43.1,2.19,1.52,0.07,6.56,0.74,0.11,0.00,0.00,0.00,0.00,28.0,5.74,11.6,1.59,37.7,3.52,0.67,0.00,36.8,0.15,0.81,0.26,0.44,Matches
94,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,30,1989,29.0,32.2,31.9,0.24,0.10,0.10,8.41,0.90,0.28,0.00,0.00,0.00,0.00,20.3,5.10,6.76,3.48,24.9,2.03,0.14,0.10,25.6,0.21,0.45,0.31,0.55,Matches
95,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,29,1989,30.3,55.5,42.6,12.8,1.49,0.10,7.99,1.25,2.31,0.63,0.36,0.17,0.00,26.3,11.8,17.4,39.6,2.67,1.35,10.7,0.03,41.0,0.20,1.35,0.63,2.54,Matches
96,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Wolves,21,1998,3.3,17.0,14.8,2.12,0.00,0.00,6.36,0.61,1.82,0.00,0.00,0.00,0.00,10.0,3.33,3.64,2.73,12.1,0.30,0.00,0.91,11.5,0.00,1.21,0.30,0.00,Matches
97,Diogo Dalot\Diogo-Dalot,pt POR,DF,Manchester Utd,20,1999,0.7,91.4,71.4,20.0,0.00,0.00,11.4,0.00,2.86,1.43,0.00,0.00,0.00,48.6,28.6,14.3,10.0,57.1,2.86,18.6,1.43,72.9,0.00,1.43,2.86,1.43,Matches
98,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,32,1986,1.4,35.0,27.9,7.14,2.86,0.00,5.00,2.86,2.14,0.00,0.00,0.00,0.00,17.9,6.43,10.7,30.0,0.71,0.00,4.29,0.00,25.0,1.43,2.86,0.00,0.00,Matches
99,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,32,1987,14.1,39.4,37.3,2.06,1.99,0.00,4.96,0.99,0.14,0.00,0.00,0.00,0.00,25.0,6.17,8.23,4.61,29.5,3.62,0.07,0.21,32.7,0.00,0.35,0.50,0.64,Matches
100,Kevin Danso\Kevin-Danso,at AUT,DF,Southampton,20,1998,3.1,51.3,40.3,11.0,0.32,0.00,10.3,1.29,1.94,0.00,0.00,0.00,0.00,30.0,7.74,13.5,3.23,33.9,1.94,10.6,0.00,37.1,0.00,1.29,1.61,0.97,Matches
101,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,26,1993,15.9,60.1,49.4,10.7,1.01,0.06,7.80,0.75,1.82,0.00,0.00,0.00,0.00,34.3,12.5,13.3,41.1,5.03,2.58,9.69,0.13,45.9,0.13,0.88,1.57,2.01,Matches
102,Tom Davies\Tom-Davies,eng ENG,MF,Everton,21,1998,22.5,38.7,37.3,1.33,0.76,0.27,7.16,1.16,0.18,0.00,0.00,0.00,0.00,24.8,6.67,7.20,4.49,30.0,2.62,0.22,0.22,30.3,0.13,0.76,0.53,1.16,Matches
103,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,21,1998,6.1,23.3,22.3,0.98,0.00,0.00,9.34,0.00,0.33,0.00,0.00,0.00,0.00,16.6,3.61,3.11,16.1,3.28,0.98,0.16,0.33,17.5,0.00,0.49,0.16,0.82,Matches
104,Craig Dawson\Craig-Dawson,eng ENG,DF,Watford,29,1990,26.2,34.7,33.5,1.15,0.50,0.04,5.69,1.98,0.11,0.00,0.00,0.00,0.00,20.3,5.42,8.93,2.02,27.4,2.40,0.65,0.34,27.8,0.19,0.92,0.31,0.50,Matches
105,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,28,1991,31.0,72.4,63.7,8.68,1.68,1.03,11.8,4.35,4.61,5.71,2.00,1.65,0.55,47.6,10.0,14.8,8.48,60.9,1.32,1.16,0.10,54.0,0.42,1.23,1.97,3.10,Matches
106,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,31,1988,24.7,28.6,27.7,0.89,0.00,0.16,10.4,0.24,0.57,0.04,0.00,0.00,0.00,9.84,10.3,8.50,1.05,16.1,4.90,0.04,0.53,16.4,0.24,0.97,0.69,1.21,Matches
107,Fabian Delph\Fabian-Delph,eng ENG,MF,Everton,29,1989,13.2,58.9,57.8,1.14,0.83,0.15,9.24,2.12,0.30,0.00,0.00,0.00,0.00,41.7,8.56,8.71,36.6,18.9,2.12,0.15,0.23,51.2,0.15,0.98,0.45,0.53,Matches
108,Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,24,1995,31.1,41.3,40.7,0.55,0.45,0.03,6.14,1.32,0.23,0.00,0.00,0.00,0.00,29.2,5.72,6.37,6.72,29.2,3.31,0.06,0.06,35.0,0.13,0.26,0.64,0.80,Matches
109,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Watford,25,1994,23.3,35.3,31.4,3.95,1.29,0.13,7.64,1.07,2.53,1.42,0.60,0.47,0.17,23.3,6.48,5.49,2.83,31.4,0.39,0.34,0.26,25.9,0.17,0.39,0.86,2.06,Matches
110,Eric Dier\Eric-Dier,eng ENG,DFMF,Tottenham,25,1994,14.9,58.8,57.5,1.28,1.21,0.00,9.13,1.88,0.07,0.00,0.00,0.00,0.00,40.1,6.71,12.0,7.92,43.8,3.69,0.07,0.13,47.9,0.27,0.87,1.07,0.47,Matches
111,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,26,1993,33.7,57.7,41.8,16.0,1.90,0.09,8.72,2.17,4.54,3.20,1.57,1.16,0.24,24.0,12.9,20.8,38.0,3.06,3.32,10.9,0.21,40.1,0.18,0.98,1.04,2.67,Matches
112,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,28,1991,38.0,81.2,78.9,2.24,1.95,0.21,8.47,3.45,0.00,0.00,0.00,0.00,0.00,61.3,6.97,12.9,9.08,65.2,4.00,0.29,0.16,73.4,0.03,1.13,0.34,0.26,Matches
113,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,22,1997,30.7,30.9,29.5,1.37,1.34,0.00,4.40,0.55,0.03,0.00,0.00,0.00,0.00,20.2,3.32,7.36,4.23,22.3,2.87,0.03,0.07,24.6,0.07,0.94,0.39,0.52,Matches
114,Moussa Djenepo\Moussa-Djenepo,ml MLI,MFDF,Southampton,21,1998,10.3,25.6,24.7,0.97,0.00,0.29,5.44,0.49,1.55,0.00,0.00,0.00,0.00,16.4,6.02,3.20,5.83,17.1,1.07,0.87,0.49,18.5,0.10,0.68,0.78,0.78,Matches
115,Matt Doherty\Matt-Doherty,ie IRL,DF,Wolves,27,1992,31.5,56.9,46.2,10.8,0.16,0.03,9.30,0.73,1.21,0.00,0.00,0.00,0.00,28.2,15.2,13.5,2.38,37.5,3.68,10.6,0.38,43.5,0.10,0.86,1.11,1.87,Matches
116,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,26,1993,35.1,47.2,46.9,0.37,0.23,0.06,9.91,0.68,0.77,0.03,0.00,0.00,0.00,33.4,8.40,5.47,7.41,36.6,1.94,0.00,0.17,37.1,0.11,0.54,0.83,1.82,Matches
117,Thomas Doyle\Thomas-Doyle,eng ENG,MFFW,Manchester City,17,2001,0.2,95.0,90.0,5.00,5.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,95.0,0.00,0.00,20.0,75.0,0.00,0.00,0.00,95.0,0.00,0.00,0.00,0.00,Matches
118,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Burnley,29,1990,0.6,33.3,31.7,1.67,1.67,0.00,5.00,1.67,0.00,0.00,0.00,0.00,0.00,15.0,3.33,15.0,5.00,23.3,5.00,0.00,0.00,18.3,0.00,3.33,0.00,1.67,Matches
119,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Aston Villa,29,1990,2.9,57.6,56.2,1.38,1.38,0.00,11.0,2.41,0.34,0.00,0.00,0.00,0.00,33.1,15.2,9.31,12.1,43.4,1.03,0.00,0.00,46.9,0.00,1.72,0.69,2.07,Matches
120,Josip Drmiæ\Josip-Drmic,ch SUI,FWMF,Norwich City,26,1992,7.2,22.8,21.1,1.67,0.00,0.00,6.81,0.69,0.42,0.28,0.28,0.00,0.00,14.2,6.11,2.50,2.78,16.7,0.97,0.14,1.25,17.4,0.00,0.56,0.56,0.42,Matches
121,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,38.0,28.8,16.0,12.8,3.89,0.00,3.21,0.89,0.00,0.00,0.00,0.00,0.00,7.03,1.00,20.7,1.26,22.3,0.03,0.03,3.21,15.7,0.18,0.89,0.16,0.05,Matches
122,Ondrej Duda\Ondrej-Duda,sk SVK,MF,Norwich City,24,1994,8.0,47.8,43.1,4.63,1.25,0.00,9.13,2.13,1.00,3.00,1.00,1.88,0.00,28.3,10.3,9.25,5.13,38.6,1.63,0.13,1.38,37.3,0.00,0.88,0.88,1.63,Matches
123,Shane Duffy\Shane-Duffy,ie IRL,DF,Brighton,27,1992,13.8,44.4,41.8,2.61,2.32,0.00,7.10,2.54,0.07,0.00,0.00,0.00,0.00,28.3,6.23,9.86,2.83,34.9,3.48,0.29,0.58,37.3,0.07,1.16,0.22,0.51,Matches
124,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,27,1991,13.6,36.9,33.1,3.82,0.81,0.00,7.65,0.81,1.03,0.00,0.00,0.00,0.00,19.3,5.22,12.4,28.1,2.21,2.13,3.01,0.22,26.3,0.15,0.88,0.44,1.18,Matches
125,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,27,1991,35.9,61.1,58.3,2.73,1.84,0.03,7.30,3.23,0.06,0.00,0.00,0.00,0.00,42.6,7.35,11.1,3.82,51.8,2.95,0.89,0.53,53.3,0.19,1.42,0.61,0.25,Matches
126,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,34.1,31.2,25.7,5.43,1.32,0.03,3.40,1.11,0.00,0.00,0.00,0.00,0.00,23.2,1.73,6.28,21.6,4.16,0.09,0.03,4.72,27.2,0.09,0.50,0.12,0.03,Matches
127,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,26,1992,35.4,34.3,33.4,0.90,0.79,0.00,5.31,1.38,0.08,0.00,0.00,0.00,0.00,21.7,4.38,8.19,4.01,25.3,3.28,0.11,0.11,28.7,0.06,0.85,0.06,0.17,Matches
128,Harvey Elliot\Harvey-Elliot,eng ENG,DF,Liverpool,16,2003,0.1,150.0,110.0,40.0,0.00,0.00,0.00,10.0,20.0,30.0,0.00,20.0,0.00,80.0,30.0,40.0,130.0,10.0,0.00,10.0,0.00,120.0,0.00,0.00,0.00,0.00,Matches
129,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,31,1987,11.5,55.0,46.3,8.70,0.52,0.00,8.78,1.04,4.35,0.00,0.00,0.00,0.00,26.4,11.8,16.8,0.61,41.9,2.61,8.17,0.09,42.1,0.26,0.78,1.57,1.22,Matches
130,Björn Engels\Bjorn-Engels,be BEL,DF,Aston Villa,24,1994,16.1,37.6,36.4,1.18,1.06,0.00,5.65,1.80,0.19,0.00,0.00,0.00,0.00,24.8,4.22,8.57,3.29,30.5,1.93,0.12,0.06,31.2,0.12,0.56,0.31,0.25,Matches
131,Christian Eriksen\Christian-Eriksen,dk DEN,MFFW,Tottenham,27,1992,12.2,60.9,54.0,6.89,2.13,0.33,9.75,2.87,1.97,3.77,1.48,1.31,0.41,38.4,9.10,13.4,14.2,43.6,1.89,0.82,0.16,45.0,0.33,0.74,1.48,1.56,Matches
132,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,31,1988,37.6,63.1,60.8,2.31,1.91,0.05,8.11,1.60,0.13,0.00,0.00,0.00,0.00,46.9,5.85,10.3,15.7,42.2,3.11,0.40,0.13,55.5,0.05,1.17,0.32,0.32,Matches
133,£ukasz Fabiañski\Lukasz-Fabianski,pl POL,GK,West Ham,34,1985,23.5,28.6,17.4,11.2,2.94,0.00,2.60,0.89,0.00,0.00,0.00,0.00,0.00,5.45,1.70,21.4,0.89,21.5,0.00,0.00,3.87,16.1,0.17,0.81,0.04,0.13,Matches
134,Fabinho\Fabinho,br BRA,MF,Liverpool,25,1993,23.1,66.1,65.2,1.00,0.69,0.22,10.5,1.65,0.26,0.00,0.00,0.00,0.00,45.5,9.13,11.5,4.55,57.1,2.94,0.17,0.09,57.7,0.09,0.78,0.39,0.65,Matches
135,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,30,1988,0.2,50.0,35.0,15.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.0,5.00,15.0,10.0,30.0,0.00,0.00,10.0,35.0,0.00,5.00,0.00,0.00,Matches
136,Akin Famewo\Akin-Famewo,eng ENG,MF,Norwich City,20,1998,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
137,Kiko Femenía\Kiko-Femenia,es ESP,DF,Watford,28,1991,24.9,51.8,40.5,11.3,0.64,0.00,6.55,0.92,2.25,0.08,0.04,0.04,0.00,27.3,12.1,12.4,5.82,32.4,2.21,10.6,0.16,40.0,0.04,0.84,1.24,1.49,Matches
138,Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,24,1994,13.2,64.6,56.9,7.73,2.05,0.30,10.6,4.02,1.67,4.17,1.14,1.82,0.53,40.0,10.5,14.2,4.85,58.2,0.98,0.38,0.15,46.1,0.23,0.91,1.74,2.95,Matches
139,Gedson Fernandes\Gedson-Fernandes,pt POR,MFDF,Tottenham,20,1999,0.8,63.8,55.0,8.75,1.25,0.00,13.8,0.00,3.75,0.00,0.00,0.00,0.00,37.5,17.5,8.75,5.00,48.8,2.50,7.50,0.00,50.0,0.00,1.25,0.00,3.75,Matches
140,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,30,1989,29.1,40.7,36.2,4.54,1.41,0.03,5.74,1.75,0.55,0.00,0.00,0.00,0.00,24.6,5.02,11.0,2.37,32.2,1.92,3.09,0.03,31.2,0.14,1.34,0.65,0.82,Matches
141,Fernandinho\Fernandinho,br BRA,DF,Manchester City,34,1985,26.6,82.3,80.2,2.11,1.65,0.08,9.36,2.86,0.11,0.00,0.00,0.00,0.00,64.2,7.26,10.8,9.14,67.7,3.12,0.45,0.34,74.6,0.23,0.86,0.45,0.83,Matches
142,Roberto Firmino\Roberto-Firmino,br BRA,FW,Liverpool,27,1991,33.2,35.3,34.4,0.90,0.09,0.24,9.22,0.24,0.48,0.00,0.00,0.00,0.00,26.3,6.17,2.77,4.58,27.9,1.66,0.33,0.39,28.0,0.09,0.21,1.54,1.66,Matches
143,John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,27,1991,28.0,41.6,36.8,4.79,1.11,0.11,8.00,2.36,2.07,2.75,1.79,0.36,0.18,24.3,7.68,9.61,35.3,3.43,2.04,0.25,0.29,30.5,0.29,0.82,0.79,1.71,Matches
144,Phil Foden\Phil-Foden,eng ENG,FWMF,Manchester City,19,2000,10.0,50.8,49.4,1.40,0.40,0.40,7.40,1.70,2.20,0.60,0.20,0.10,0.00,39.8,5.10,5.90,45.0,3.70,1.10,0.40,0.20,43.1,0.00,0.60,0.20,1.50,Matches
145,Pablo Fornals\Pablo-Fornals,es ESP,MFFW,West Ham,23,1996,24.1,37.2,35.7,1.54,0.41,0.25,9.21,1.29,1.54,0.79,0.17,0.37,0.12,24.6,6.93,5.64,4.40,31.2,0.95,0.08,0.21,28.2,0.00,0.54,0.71,2.28,Matches
146,Ben Foster\Ben-Foster,eng ENG,GK,Watford,36,1983,38.0,31.6,19.3,12.3,4.58,0.00,2.53,1.47,0.00,0.00,0.00,0.00,0.00,4.58,1.47,25.6,20.9,4.26,0.00,0.03,3.21,14.0,0.34,0.95,0.18,0.08,Matches
147,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Manchester Utd,21,1998,1.5,48.7,44.0,4.67,0.00,0.00,2.67,0.67,1.33,0.00,0.00,0.00,0.00,34.0,8.67,6.00,10.0,31.3,2.67,4.67,0.00,41.3,0.00,1.33,0.67,0.67,Matches
148,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,MFDF,Watford,26,1993,0.7,18.6,17.1,1.43,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,10.0,5.71,2.86,2.86,14.3,0.00,1.43,0.00,14.3,0.00,1.43,0.00,1.43,Matches
149,Juan Foyth\Juan-Foyth,ar ARG,DF,Tottenham,21,1998,0.8,75.0,65.0,10.0,1.25,0.00,15.0,3.75,0.00,0.00,0.00,0.00,0.00,55.0,10.0,10.0,7.50,57.5,0.00,8.75,0.00,66.3,1.25,1.25,1.25,0.00,Matches
150,Simon Francis\Simon-Francis,eng ENG,DF,Bournemouth,34,1985,10.8,50.4,46.7,3.70,1.02,0.09,11.4,1.67,1.20,0.00,0.00,0.00,0.00,25.2,11.7,13.5,4.44,37.3,3.15,2.69,0.19,39.4,0.00,0.93,0.83,0.56,Matches
151,Ryan Fraser\Ryan-Fraser,sco SCO,MFFW,Bournemouth,25,1994,23.0,41.3,35.6,5.74,1.52,0.39,8.91,1.26,4.26,2.78,1.09,0.87,0.35,22.4,7.83,11.0,8.48,30.3,1.17,0.83,0.22,28.2,0.17,0.78,0.70,1.65,Matches
152,Fred\Fred,br BRA,MF,Manchester Utd,26,1993,24.0,71.4,67.0,4.42,2.21,0.13,14.3,3.46,1.13,1.75,0.63,0.67,0.00,51.3,9.67,10.5,50.0,19.4,1.21,0.33,0.25,61.0,0.08,0.75,0.83,1.54,Matches
153,Ryan Fredericks\Ryan-Fredericks,eng ENG,DF,West Ham,26,1992,24.9,44.0,35.5,8.51,0.24,0.00,6.83,0.24,2.13,0.00,0.00,0.00,0.00,22.9,7.03,14.1,3.57,28.8,2.73,8.27,0.08,31.9,0.12,0.60,0.52,1.89,Matches
154,Kieron Freeman\Kieron-Freeman,wal WAL,FW,Sheffield Utd,27,1992,0.1,20.0,20.0,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,10.0,10.0,0.00,0.00,20.0,0.00,0.00,0.00,20.0,0.00,0.00,0.00,0.00,Matches
155,Luke Freeman\Luke-Freeman,eng ENG,MF,Sheffield Utd,27,1992,4.1,36.6,34.9,1.71,0.00,0.00,9.02,0.73,0.98,1.71,0.98,0.24,0.00,22.4,7.56,6.59,30.2,4.39,0.98,0.00,0.00,26.8,0.00,1.71,0.49,2.68,Matches
156,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,33,1986,8.6,73.3,63.3,10.0,1.40,0.12,10.1,1.98,1.28,0.00,0.00,0.00,0.00,45.2,14.2,13.8,53.1,6.98,2.91,8.60,0.12,59.3,0.12,1.40,1.28,1.40,Matches
157,Eric García\Eric-Garcia,es ESP,DF,Manchester City,18,2001,8.8,80.1,79.3,0.80,0.68,0.00,5.68,1.93,0.11,0.00,0.00,0.00,0.00,72.8,3.30,3.98,7.16,71.0,1.25,0.11,0.11,76.4,0.11,0.34,0.23,0.45,Matches
158,James Garner\James-Garner,eng ENG,MF,Manchester Utd,18,2001,0.1,150.0,150.0,0.00,0.00,0.00,60.0,10.0,0.00,0.00,0.00,0.00,0.00,150.0,0.00,0.00,20.0,120.0,0.00,0.00,10.0,150.0,0.00,0.00,0.00,0.00,Matches
159,Dwight Gayle\Dwight-Gayle,eng ENG,FW,Newcastle Utd,28,1990,9.4,16.0,14.4,1.60,0.11,0.11,5.00,0.43,0.53,0.00,0.00,0.00,0.00,8.83,3.51,3.62,2.13,10.1,1.49,0.21,0.21,11.7,0.11,0.53,0.21,0.43,Matches
160,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,27,1992,17.9,28.8,19.6,9.27,1.45,0.06,3.52,0.56,0.00,0.00,0.00,0.00,0.00,12.5,0.84,15.5,1.17,22.0,0.00,0.00,3.24,17.8,0.11,0.78,0.00,0.11,Matches
161,Jean-Philippe Gbamin\Jean-Philippe-Gbamin,ci CIV,MF,Everton,23,1995,1.5,44.7,42.7,2.00,2.00,0.00,6.00,2.00,0.00,0.00,0.00,0.00,0.00,30.7,4.67,9.33,4.67,36.7,2.67,0.00,0.00,33.3,0.00,4.00,0.00,3.33,Matches
162,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,28,1990,38.0,24.6,15.5,9.05,2.05,0.00,2.84,0.61,0.00,0.00,0.00,0.00,0.00,14.3,2.11,8.13,1.45,18.3,0.00,0.03,3.89,19.1,0.03,0.47,0.08,0.13,Matches
163,Anwar El Ghazi\Anwar-El-Ghazi,nl NED,FWMF,Aston Villa,24,1995,22.8,27.0,25.2,1.80,0.13,0.00,6.75,1.32,2.98,0.75,0.31,0.22,0.00,14.5,5.88,6.58,4.17,19.7,1.27,0.70,0.18,17.6,0.18,1.23,0.39,2.06,Matches
164,Morgan Gibbs-White\Morgan-Gibbs-White,eng ENG,MFFW,Wolves,19,2000,1.4,58.6,57.1,1.43,0.71,0.71,12.1,0.00,1.43,0.00,0.00,0.00,0.00,35.0,12.1,11.4,2.14,48.6,3.57,0.71,1.43,47.1,0.71,1.43,0.71,0.71,Matches
165,Billy Gilmour\Billy-Gilmour,sco SCO,MF,Chelsea,18,2001,2.2,76.8,76.4,0.45,0.45,0.00,16.8,3.18,0.00,0.00,0.00,0.00,0.00,54.1,13.6,9.09,4.55,65.5,5.45,0.00,0.00,68.6,0.00,0.45,0.91,0.45,Matches
166,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Chelsea,32,1986,11.0,27.8,25.5,2.27,0.00,0.18,8.45,0.09,0.18,0.00,0.00,0.00,0.00,12.3,10.5,5.00,16.6,3.82,3.36,0.00,1.45,18.8,0.00,0.36,0.73,1.09,Matches
167,Ben Godfrey\Ben-Godfrey,eng ENG,DF,Norwich City,21,1998,29.4,54.6,53.0,1.60,1.19,0.03,8.67,2.59,0.07,0.00,0.00,0.00,0.00,42.3,5.51,6.80,4.73,46.6,1.80,0.41,0.07,48.1,0.03,1.19,0.61,0.54,Matches
168,André Gomes\Andre-Gomes,pt POR,MF,Everton,26,1993,16.2,53.0,51.4,1.60,0.99,0.06,7.47,4.01,0.49,0.06,0.00,0.06,0.00,34.8,8.21,10.1,14.0,36.4,1.73,0.12,0.19,44.4,0.12,1.48,0.68,1.11,Matches
169,Angel Gomes\Angel-Gomes,eng ENG,MF,Manchester Utd,18,2000,0.2,65.0,65.0,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,50.0,0.00,15.0,0.00,65.0,0.00,0.00,0.00,55.0,0.00,10.0,0.00,0.00,Matches
170,Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,22,1997,22.3,87.9,85.7,2.24,1.57,0.04,9.46,2.83,0.22,0.00,0.00,0.00,0.00,65.9,8.39,13.6,5.74,74.8,3.99,0.67,0.04,78.2,0.09,0.99,0.22,0.49,Matches
171,Anthony Gordon\Anthony-Gordon,eng ENG,MFFW,Everton,18,2001,4.9,25.3,23.3,2.04,1.22,0.20,3.27,0.41,1.63,0.00,0.00,0.00,0.00,20.2,2.45,2.65,1.63,22.9,0.61,0.00,0.20,19.6,0.20,0.41,0.20,0.82,Matches
172,Dan Gosling\Dan-Gosling,eng ENG,MF,Bournemouth,29,1990,14.0,36.4,35.7,0.71,0.29,0.00,8.86,0.43,0.21,0.00,0.00,0.00,0.00,23.2,7.93,5.29,3.57,29.6,1.86,0.07,0.14,28.9,0.07,0.86,0.71,1.50,Matches
173,Andre Gray\Andre-Gray,eng ENG,FW,Watford,28,1991,8.4,18.5,17.5,0.95,0.00,0.24,6.55,0.24,0.95,0.00,0.00,0.00,0.00,11.4,4.88,2.14,3.93,12.0,0.95,0.00,0.60,12.1,0.00,0.48,0.71,1.90,Matches
174,Demarai Gray\Demarai-Gray,eng ENG,MFFW,Leicester City,23,1996,6.9,47.4,45.4,2.03,0.58,0.43,10.3,1.59,3.19,0.87,0.43,0.14,0.14,35.4,7.10,4.93,3.91,41.6,0.29,0.58,0.72,39.3,0.29,0.58,0.43,2.17,Matches
