Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,OG,Matches
17,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,26,1993,8.4,0.12,0.12,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
18,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,26,1993,16.6,3.49,3.49,2.65,0.12,0.30,0.18,0.18,0.06,0.48,0.48,0.42,0.00,0.06,0.00,0.00,0.00,0.00,Matches
19,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,26,1993,0.8,1.25,1.23,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
20,Angeli?o\Angelino,es ESP,DF,Manchester City,22,1997,4.7,2.98,2.98,2.77,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
21,Faustino Anjorin\Faustino-Anjorin,eng ENG,FW,Chelsea,17,2001,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
22,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,29,1990,19.6,3.01,3.00,1.58,0.05,0.77,0.26,0.31,0.05,0.36,0.36,0.10,0.00,0.10,0.10,0.05,0.00,0.00,Matches
23,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,27,1992,19.1,2.62,2.62,1.94,0.00,0.21,0.21,0.16,0.10,0.47,0.47,0.26,0.00,0.05,0.10,0.00,0.05,0.00,Matches
24,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,33.0,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
25,Christian Atsu\Christian-Atsu,gh GHA,FWMF,Newcastle Utd,27,1992,8.3,2.77,2.76,2.05,0.24,0.24,0.00,0.12,0.12,0.36,0.36,0.24,0.12,0.00,0.00,0.00,0.00,0.00,Matches
26,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,30,1989,34.8,1.61,1.61,1.09,0.00,0.20,0.11,0.14,0.06,0.29,0.29,0.17,0.00,0.00,0.06,0.03,0.03,0.00,Matches
27,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,26,1992,30.0,1.63,1.63,1.43,0.07,0.07,0.00,0.00,0.03,0.20,0.20,0.13,0.00,0.03,0.00,0.00,0.00,0.03,Matches
28,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,27,1991,35.0,1.94,1.94,1.23,0.00,0.31,0.03,0.31,0.06,0.20,0.20,0.09,0.00,0.09,0.00,0.03,0.00,0.00,Matches
29,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,29,1989,35.9,2.23,2.23,1.98,0.06,0.03,0.06,0.08,0.03,0.19,0.20,0.17,0.03,0.00,0.00,0.00,0.00,0.00,Matches
30,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,25,1994,1.7,0.59,0.60,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
31,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,34,1984,4.5,2.67,2.67,1.78,0.67,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
32,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,27,1991,13.1,0.31,0.31,0.23,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
33,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,26,1993,38.0,1.71,1.71,1.37,0.11,0.16,0.00,0.08,0.00,0.16,0.16,0.11,0.00,0.03,0.00,0.03,0.00,0.00,Matches
34,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,34,1985,21.0,0.95,0.95,0.52,0.14,0.00,0.10,0.00,0.19,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.05,0.00,Matches
35,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,25,1993,12.3,3.82,3.83,2.52,0.08,0.49,0.41,0.24,0.08,0.41,0.41,0.33,0.00,0.00,0.08,0.00,0.00,0.00,Matches
36,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,29,1989,15.0,1.40,1.40,0.80,0.00,0.07,0.07,0.33,0.13,0.13,0.13,0.00,0.00,0.00,0.00,0.07,0.07,0.00,Matches
37,Harvey Barnes\Harvey-Barnes,eng ENG,MFFW,Leicester City,21,1997,23.1,3.33,3.33,2.55,0.00,0.35,0.22,0.22,0.00,0.65,0.65,0.52,0.00,0.09,0.04,0.00,0.00,0.00,Matches
38,Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,31,1988,36.0,0.69,0.69,0.61,0.00,0.06,0.00,0.03,0.00,0.06,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.00,Matches
39,Borja Bastón\Borja-Baston,es ESP,MFFW,Aston Villa,26,1992,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
40,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,25,1993,2.7,2.59,2.64,1.85,0.00,0.37,0.37,0.00,0.00,1.11,1.13,0.74,0.00,0.00,0.37,0.00,0.00,0.00,Matches
41,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,23,1996,34.0,0.38,0.38,0.32,0.00,0.00,0.03,0.03,0.00,0.03,0.03,0.00,0.00,0.00,0.03,0.00,0.00,0.00,Matches
42,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,24,1995,12.9,1.09,1.09,0.85,0.00,0.16,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
43,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,29,1990,6.7,0.75,0.74,0.60,0.15,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15,0.00,0.00,0.00,0.00,0.00,Matches
44,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Leicester City,29,1990,3.7,0.54,0.54,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
45,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,8.3,1.33,1.32,1.08,0.12,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
46,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,28,1990,14.0,2.79,2.78,1.71,0.00,0.36,0.29,0.21,0.21,0.43,0.43,0.36,0.00,0.07,0.00,0.00,0.00,0.00,Matches
47,Jóhann Berg Gu?mundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,28,1990,6.9,3.33,3.33,2.46,0.29,0.14,0.14,0.14,0.14,0.43,0.43,0.29,0.00,0.00,0.00,0.00,0.14,0.00,Matches
48,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,21,1998,10.5,0.67,0.67,0.57,0.00,0.10,0.00,0.00,0.00,0.19,0.19,0.10,0.00,0.10,0.00,0.00,0.00,0.00,Matches
49,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,21,1997,7.8,3.33,3.32,2.82,0.00,0.26,0.00,0.26,0.00,0.13,0.13,0.13,0.00,0.00,0.00,0.00,0.00,0.00,Matches
50,Bernard\Bernard,br BRA,MFFW,Everton,26,1992,14.2,3.52,3.52,2.75,0.00,0.35,0.14,0.07,0.21,0.35,0.35,0.21,0.00,0.14,0.00,0.00,0.00,0.00,Matches
51,Bernardo\Bernardo,br BRA,DF,Brighton,24,1995,7.5,1.33,1.33,1.20,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
52,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,29,1989,30.5,2.03,2.04,1.48,0.46,0.00,0.00,0.10,0.00,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,Matches
53,Muhamed Bešiæ\Muhamed-Besic,ba BIH,MF,Sheffield Utd,26,1992,2.8,1.07,1.08,1.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
54,Philip Billing\Philip-Billing,dk DEN,MF,Bournemouth,23,1996,28.1,1.60,1.60,1.25,0.07,0.07,0.11,0.04,0.07,0.14,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.00,Matches
55,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,22,1996,14.0,0.79,0.79,0.71,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
56,Willy Boly\Willy-Boly,ci CIV,DF,Wolves,28,1991,22.0,0.36,0.36,0.36,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,Matches
57,Gaëtan Bong\Gaetan-Bong,cm CMR,MFDF,Brighton,31,1988,0.7,4.29,4.58,4.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
58,Sofiane Boufal\Sofiane-Boufal,ma MAR,MFFW,Southampton,25,1993,8.5,4.71,4.71,2.59,0.00,0.94,0.12,0.71,0.35,0.35,0.35,0.24,0.00,0.12,0.00,0.00,0.00,0.00,Matches
59,Jarrod Bowen\Jarrod-Bowen,eng ENG,FW,West Ham,22,1996,10.2,2.75,2.75,1.08,0.59,0.29,0.39,0.29,0.10,0.49,0.49,0.29,0.20,0.00,0.00,0.00,0.00,0.00,Matches
60,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,27,1992,5.0,2.60,2.58,1.80,0.40,0.00,0.20,0.20,0.00,0.60,0.59,0.60,0.00,0.00,0.00,0.00,0.00,0.00,Matches
61,Jarrad Branthwaite\Jarrad-Branthwaite,eng ENG,DF,Everton,17,2002,3.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
62,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,36,1983,3.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
63,Armando Broja\Armando-Broja,al ALB,FW,Chelsea,17,2001,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
64,David Brooks\David-Brooks,wal WAL,MF,Bournemouth,22,1997,5.6,1.61,1.60,1.07,0.18,0.00,0.18,0.00,0.18,0.18,0.18,0.00,0.00,0.00,0.18,0.00,0.00,0.00,Matches
65,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,23,1995,8.9,1.57,1.57,1.35,0.00,0.11,0.00,0.00,0.11,0.11,0.11,0.11,0.00,0.00,0.00,0.00,0.00,0.00,Matches
66,Emi Buendía\Emi-Buendia,ar ARG,FWMF,Norwich City,22,1996,27.4,5.04,5.04,3.03,1.09,0.36,0.11,0.33,0.11,0.33,0.33,0.18,0.04,0.00,0.04,0.00,0.07,0.00,Matches
67,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,27,1992,32.0,1.09,1.09,0.91,0.09,0.03,0.03,0.00,0.03,0.06,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.00,Matches
68,Sam Byram\Sam-Byram,eng ENG,DF,Norwich City,25,1993,14.4,1.39,1.39,0.97,0.00,0.07,0.21,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
69,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,37,1981,5.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
70,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,33,1985,24.1,0.33,0.33,0.21,0.04,0.00,0.08,0.00,0.00,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,Matches
71,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,22,1997,29.2,1.95,1.95,1.16,0.00,0.07,0.17,0.41,0.10,0.10,0.10,0.07,0.00,0.00,0.00,0.00,0.00,0.03,Matches
72,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Crystal Palace,25,1994,0.1,10.0,15.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
73,Jo?o Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,25,1994,13.4,3.28,3.28,2.39,0.07,0.45,0.15,0.15,0.07,0.15,0.15,0.07,0.00,0.00,0.00,0.07,0.00,0.00,Matches
74,Todd Cantwell\Todd-Cantwell,eng ENG,FWMF,Norwich City,21,1998,27.7,2.67,2.68,2.09,0.00,0.22,0.11,0.22,0.04,0.18,0.18,0.18,0.00,0.00,0.00,0.00,0.00,0.00,Matches
75,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,31,1988,29.2,1.51,1.51,1.10,0.21,0.07,0.00,0.10,0.03,0.10,0.10,0.07,0.03,0.00,0.00,0.00,0.00,0.00,Matches
76,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,30,1989,7.0,2.86,2.85,2.71,0.00,0.00,0.00,0.14,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
77,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,25,1994,32.1,1.68,1.68,1.31,0.06,0.06,0.00,0.09,0.16,0.22,0.22,0.16,0.03,0.00,0.00,0.00,0.03,0.00,Matches
78,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,30,1989,27.6,0.18,0.18,0.18,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,Matches
79,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,22,1996,18.8,2.61,2.61,1.70,0.64,0.00,0.05,0.11,0.11,0.43,0.43,0.27,0.05,0.00,0.00,0.00,0.11,0.00,Matches
80,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MF,Watford,24,1994,10.3,1.84,1.84,1.55,0.19,0.00,0.00,0.00,0.10,0.19,0.19,0.19,0.00,0.00,0.00,0.00,0.00,0.00,Matches
81,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,24,1995,12.2,1.39,1.39,0.74,0.16,0.00,0.33,0.00,0.16,0.25,0.25,0.08,0.00,0.00,0.08,0.00,0.08,0.00,Matches
82,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,22,1996,26.4,2.39,2.39,2.01,0.27,0.04,0.04,0.00,0.04,0.27,0.27,0.27,0.00,0.00,0.00,0.00,0.00,0.00,Matches
83,Tahith Chong\Tahith-Chong,nl NED,FWMF,Manchester Utd,19,1999,0.4,5.00,4.86,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
84,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,21,1997,9.9,1.21,1.21,1.11,0.00,0.00,0.10,0.00,0.00,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,Matches
85,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,23,1996,19.5,0.56,0.57,0.51,0.00,0.00,0.05,0.00,0.00,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,Matches
86,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,29,1989,13.2,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
87,Leon Clarke\Leon-Clarke,eng ENG,FWMF,Sheffield Utd,34,1985,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
88,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Watford,29,1989,10.8,2.87,2.87,2.22,0.19,0.00,0.19,0.28,0.00,0.09,0.09,0.00,0.00,0.00,0.09,0.00,0.00,0.00,Matches
89,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,26,1993,38.0,0.34,0.34,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
90,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,30,1988,20.4,1.13,1.13,0.78,0.10,0.15,0.10,0.00,0.00,0.15,0.15,0.10,0.00,0.00,0.05,0.00,0.00,0.00,Matches
91,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,19,2000,14.0,1.79,1.79,0.50,0.00,0.21,0.21,0.64,0.21,0.36,0.36,0.07,0.00,0.07,0.07,0.14,0.00,0.00,Matches
92,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,22,1997,15.0,2.13,2.13,1.60,0.13,0.07,0.20,0.13,0.00,0.27,0.27,0.13,0.00,0.00,0.07,0.07,0.00,0.00,Matches
93,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,28,1991,27.0,0.22,0.22,0.19,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
94,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,30,1989,29.0,0.86,0.86,0.69,0.00,0.07,0.00,0.07,0.03,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,Matches
95,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,29,1989,30.3,1.52,1.52,1.09,0.20,0.07,0.03,0.13,0.00,0.07,0.07,0.03,0.00,0.03,0.00,0.00,0.00,0.00,Matches
96,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Wolves,21,1998,3.3,0.61,0.61,0.30,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
97,Diogo Dalot\Diogo-Dalot,pt POR,DF,Manchester Utd,20,1999,0.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
98,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,32,1986,1.4,2.86,2.86,2.14,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
99,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,32,1987,14.1,0.50,0.50,0.43,0.00,0.07,0.00,0.00,0.00,0.07,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,Matches
100,Kevin Danso\Kevin-Danso,at AUT,DF,Southampton,20,1998,3.1,0.97,0.97,0.97,0.00,0.00,0.00,0.00,0.00,0.32,0.32,0.32,0.00,0.00,0.00,0.00,0.00,0.00,Matches
101,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,26,1993,15.9,1.07,1.07,0.94,0.06,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
102,Tom Davies\Tom-Davies,eng ENG,MF,Everton,21,1998,22.5,1.07,1.07,0.76,0.00,0.09,0.13,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
103,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,21,1998,6.1,3.28,3.28,1.80,0.00,0.16,0.66,0.66,0.00,0.49,0.49,0.16,0.00,0.00,0.16,0.16,0.00,0.00,Matches
104,Craig Dawson\Craig-Dawson,eng ENG,DF,Watford,29,1990,26.2,0.46,0.46,0.27,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
105,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,28,1991,31.0,7.16,7.16,5.06,1.26,0.35,0.13,0.29,0.06,1.10,1.10,0.81,0.06,0.06,0.03,0.10,0.03,0.00,Matches
106,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,31,1988,24.7,2.06,2.06,1.70,0.00,0.00,0.12,0.20,0.04,0.20,0.20,0.16,0.00,0.00,0.00,0.04,0.00,0.00,Matches
107,Fabian Delph\Fabian-Delph,eng ENG,MF,Everton,29,1989,13.2,1.36,1.36,1.21,0.00,0.00,0.08,0.00,0.08,0.15,0.15,0.15,0.00,0.00,0.00,0.00,0.00,0.00,Matches
108,Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,24,1995,31.1,0.61,0.61,0.58,0.00,0.03,0.00,0.00,0.00,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,Matches
109,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Watford,25,1994,23.3,3.99,3.99,2.19,0.43,0.60,0.30,0.26,0.21,0.43,0.43,0.21,0.00,0.04,0.00,0.04,0.13,0.00,Matches
110,Eric Dier\Eric-Dier,eng ENG,DFMF,Tottenham,25,1994,14.9,0.67,0.67,0.60,0.00,0.00,0.07,0.00,0.00,0.07,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,Matches
111,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,26,1993,33.7,3.12,3.12,1.72,1.13,0.06,0.09,0.09,0.03,0.33,0.33,0.24,0.09,0.00,0.00,0.00,0.00,0.00,Matches
112,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,28,1991,38.0,0.63,0.63,0.50,0.00,0.00,0.03,0.05,0.05,0.16,0.16,0.11,0.00,0.00,0.00,0.03,0.03,0.00,Matches
113,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,22,1997,30.7,0.29,0.29,0.20,0.03,0.00,0.07,0.00,0.00,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,Matches
114,Moussa Djenepo\Moussa-Djenepo,ml MLI,MFDF,Southampton,21,1998,10.3,3.88,3.88,1.84,0.00,1.07,0.10,0.78,0.10,0.58,0.58,0.29,0.00,0.19,0.00,0.10,0.00,0.00,Matches
115,Matt Doherty\Matt-Doherty,ie IRL,DF,Wolves,27,1992,31.5,2.03,2.03,1.52,0.03,0.19,0.22,0.06,0.00,0.48,0.48,0.22,0.00,0.10,0.13,0.03,0.00,0.00,Matches
116,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,26,1993,35.1,2.39,2.40,1.68,0.00,0.28,0.23,0.09,0.11,0.17,0.17,0.11,0.00,0.00,0.06,0.00,0.00,0.00,Matches
117,Thomas Doyle\Thomas-Doyle,eng ENG,MFFW,Manchester City,17,2001,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
118,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Burnley,29,1990,0.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
119,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Aston Villa,29,1990,2.9,1.38,1.39,1.03,0.00,0.00,0.00,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
120,Josip Drmiæ\Josip-Drmic,ch SUI,FWMF,Norwich City,26,1992,7.2,1.67,1.67,0.97,0.00,0.14,0.28,0.14,0.14,0.28,0.28,0.00,0.00,0.14,0.00,0.00,0.14,0.00,Matches
121,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,38.0,0.05,0.05,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
122,Ondrej Duda\Ondrej-Duda,sk SVK,MF,Norwich City,24,1994,8.0,3.25,3.23,1.88,0.75,0.13,0.25,0.13,0.13,0.25,0.25,0.13,0.00,0.00,0.13,0.00,0.00,0.00,Matches
123,Shane Duffy\Shane-Duffy,ie IRL,DF,Brighton,27,1992,13.8,0.36,0.36,0.29,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
124,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,27,1991,13.6,0.44,0.44,0.37,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,Matches
125,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,27,1991,35.9,0.72,0.72,0.64,0.06,0.00,0.00,0.00,0.03,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,Matches
126,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,34.1,0.12,0.12,0.12,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,Matches
127,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,26,1992,35.4,0.17,0.17,0.08,0.00,0.00,0.08,0.00,0.00,0.03,0.03,0.00,0.00,0.00,0.03,0.00,0.00,0.00,Matches
128,Harvey Elliot\Harvey-Elliot,eng ENG,DF,Liverpool,16,2003,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
129,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,31,1987,11.5,2.43,2.44,2.35,0.09,0.00,0.00,0.00,0.00,0.09,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.00,Matches
130,Björn Engels\Bjorn-Engels,be BEL,DF,Aston Villa,24,1994,16.1,0.37,0.37,0.31,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
131,Christian Eriksen\Christian-Eriksen,dk DEN,MFFW,Tottenham,27,1992,12.2,3.36,3.36,2.54,0.66,0.08,0.00,0.00,0.08,0.25,0.25,0.16,0.08,0.00,0.00,0.00,0.00,0.00,Matches
132,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,31,1988,37.6,0.61,0.61,0.45,0.00,0.03,0.08,0.03,0.03,0.11,0.11,0.08,0.00,0.00,0.00,0.03,0.00,0.00,Matches
133,£ukasz Fabiañski\Lukasz-Fabianski,pl POL,GK,West Ham,34,1985,23.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
134,Fabinho\Fabinho,br BRA,MF,Liverpool,25,1993,23.1,1.47,1.47,1.30,0.00,0.04,0.00,0.04,0.09,0.13,0.13,0.13,0.00,0.00,0.00,0.00,0.00,0.00,Matches
