Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
357,Troy Parrott\Troy-Parrott,ie IRL,MF,Tottenham,17,2002,0.1,50.0,0.00,20.0,30.0,0.00,0.00,40.0,0.00,0.00,,0.00,0.00,40.0,160.0,10.0,80.0,40.0,50.0,0.00,0.00,Matches
358,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,31,1988,38.0,23.8,22.1,23.7,0.08,0.00,0.00,14.4,0.00,0.00,,0.00,0.00,8.92,44.4,25.5,6.26,6.18,98.7,0.00,0.00,Matches
359,Pedro\Pedro,es ESP,FW,Chelsea,32,1987,7.3,58.1,0.68,7.12,29.2,26.6,5.48,57.8,2.19,3.70,59.3,2.33,0.14,47.0,318.2,145.9,54.1,44.0,81.3,1.64,0.96,Matches
360,Jo?o Pedro\Joao-Pedro,br BRA,FWMF,Watford,17,2001,0.3,60.0,0.00,10.0,23.3,33.3,10.0,60.0,10.0,10.0,100.0,10.0,0.00,46.7,640.0,353.3,66.7,46.7,70.0,0.00,3.33,Matches
361,Nicolas Pépé\Nicolas-Pepe,ci CIV,FW,Arsenal,24,1995,22.3,50.5,0.45,6.32,21.0,28.1,4.98,46.8,3.23,5.92,54.5,3.45,0.27,42.2,326.4,209.0,49.5,37.0,74.8,2.51,2.87,Matches
362,Andreas Pereira\Andreas-Pereira,br BRA,MFFW,Manchester Utd,23,1996,16.5,60.0,0.73,6.18,30.5,27.7,3.70,55.2,1.21,2.30,52.6,1.39,0.00,43.5,265.8,143.4,53.3,43.3,81.3,2.48,2.48,Matches
363,Ricardo Pereira\Ricardo-Pereira,pt POR,DF,Leicester City,25,1993,28.0,83.2,3.89,21.4,41.2,26.6,2.21,72.1,2.11,3.14,67.0,2.25,0.04,52.3,302.1,209.9,55.7,51.4,92.2,1.14,1.96,Matches
364,Roberto Pereyra\Roberto-Pereyra,ar ARG,FWMF,Watford,28,1991,18.3,49.1,0.87,7.60,24.0,21.5,3.11,46.7,1.37,3.33,41.0,1.53,0.00,36.6,256.6,148.1,47.9,33.9,70.9,2.57,2.02,Matches
365,Ayoze Pérez\Ayoze-Perez,es ESP,MFFW,Leicester City,26,1993,22.3,49.6,0.67,6.41,22.2,24.1,5.16,48.7,1.97,3.05,64.7,2.11,0.04,35.7,191.0,104.7,50.3,36.1,71.7,2.15,3.54,Matches
366,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,25,1994,38.0,38.3,33.3,37.8,0.50,0.00,0.00,27.4,0.00,0.03,0.0,0.00,0.00,19.0,102.5,55.0,16.7,16.7,99.7,0.00,0.00,Matches
367,Brandon Pierrick\Brandon-Pierrick,eng ENG,DFFW,Crystal Palace,17,2001,0.2,80.0,5.00,15.0,15.0,55.0,10.0,80.0,10.0,15.0,66.7,10.0,0.00,65.0,425.0,180.0,55.0,40.0,72.7,10.0,5.00,Matches
368,Erik Pieters\Erik-Pieters,nl NED,DFMF,Burnley,30,1988,20.9,57.9,3.73,15.4,30.1,15.3,0.96,49.2,0.19,0.62,30.8,0.29,0.10,28.2,140.4,78.7,30.8,28.2,91.8,0.72,0.67,Matches
369,Daniel Podence\Daniel-Podence,pt POR,FWMF,Wolves,23,1995,3.2,47.8,0.63,4.69,21.6,26.3,5.00,46.9,2.81,4.06,69.2,3.13,0.00,35.3,284.4,178.1,49.7,36.6,73.6,0.94,2.50,Matches
370,Paul Pogba\Paul-Pogba,fr FRA,MF,Manchester Utd,26,1993,13.4,87.9,2.54,15.7,56.3,21.4,2.16,85.9,1.64,2.61,62.9,1.87,0.07,66.9,299.2,156.2,71.0,67.8,95.4,0.97,1.94,Matches
371,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,27,1992,38.0,33.8,28.1,32.9,0.76,0.05,0.03,21.8,0.00,0.00,,0.00,0.00,14.2,91.4,62.2,9.97,9.95,99.7,0.00,0.00,Matches
372,Dennis Praet\Dennis-Praet,be BEL,MF,Leicester City,25,1994,12.6,55.2,2.06,12.9,28.7,17.1,1.75,54.7,1.27,2.54,50.0,1.43,0.00,36.6,191.4,101.2,42.6,36.1,84.7,2.30,1.03,Matches
373,Sebastian Prödl\Sebastian-Prodl,at AUT,DF,Watford,32,1987,0.6,26.7,5.00,13.3,10.0,3.33,3.33,26.7,0.00,0.00,,0.00,0.00,8.33,10.0,0.00,11.7,11.7,100.0,0.00,0.00,Matches
374,Davy Pröpper\Davy-Propper,nl NED,MF,Brighton,27,1991,31.4,66.8,2.32,17.1,40.2,14.5,0.92,66.1,1.27,2.07,61.5,1.31,0.06,48.3,292.8,135.7,51.0,47.7,93.6,1.02,1.11,Matches
375,Teemu Pukki\Teemu-Pukki,fi FIN,FW,Norwich City,29,1990,32.1,24.7,0.44,2.18,9.84,14.1,5.51,22.6,0.84,1.43,58.7,0.87,0.19,15.8,109.9,63.0,35.6,16.5,46.5,1.56,1.15,Matches
376,Christian Pulisic\Christian-Pulisic,us USA,FW,Chelsea,20,1998,19.1,53.7,0.31,5.24,24.2,29.7,7.38,53.4,2.67,5.29,50.5,2.98,0.16,44.4,355.6,231.0,58.7,43.8,74.5,2.57,3.40,Matches
377,Ignacio Pussetto\Ignacio-Pussetto,ar ARG,FWDF,Watford,23,1995,0.8,72.5,3.75,27.5,31.3,16.3,1.25,67.5,1.25,6.25,20.0,2.50,0.00,33.8,211.3,87.5,36.3,27.5,75.9,2.50,6.25,Matches
378,Domingos Quina\Domingos-Quina,pt POR,MF,Watford,19,1999,0.2,95.0,0.00,30.0,50.0,20.0,0.00,95.0,5.00,10.0,50.0,5.00,0.00,70.0,480.0,260.0,90.0,55.0,61.1,5.00,10.0,Matches
379,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Bournemouth,21,1998,37.0,33.6,30.3,33.3,0.38,0.00,0.00,22.3,0.00,0.00,,0.00,0.00,14.7,84.0,48.0,11.1,11.0,99.0,0.00,0.00,Matches
380,Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,32,1987,2.0,23.5,21.0,23.5,0.00,0.00,0.00,14.5,0.00,0.00,,0.00,0.00,8.00,64.0,50.0,5.50,5.50,100.0,0.00,0.00,Matches
381,Marcus Rashford\Marcus-Rashford,eng ENG,FW,Manchester Utd,21,1997,29.4,46.9,0.68,3.10,19.0,29.0,5.54,45.3,2.45,4.49,54.5,2.62,0.44,34.7,254.6,178.0,53.0,37.5,70.8,2.41,1.63,Matches
382,Nathan Redmond\Nathan-Redmond,eng ENG,MFFW,Southampton,25,1994,30.7,47.0,0.94,6.09,21.8,23.6,3.97,46.4,2.93,4.76,61.6,3.19,0.16,37.8,315.8,190.3,46.6,32.9,70.7,1.82,1.89,Matches
383,Pepe Reina\Pepe-Reina,es ESP,GK,Aston Villa,36,1982,12.0,35.6,31.1,35.2,0.50,0.00,0.00,24.0,0.00,0.00,,0.00,0.00,14.6,83.8,46.4,14.7,14.6,99.4,0.08,0.00,Matches
384,Declan Rice\Declan-Rice,eng ENG,MF,West Ham,20,1999,38.0,54.8,2.95,16.6,34.4,7.97,0.76,54.0,1.08,1.39,77.4,1.13,0.00,35.9,242.4,103.2,35.6,33.3,93.8,0.50,0.74,Matches
385,Richarlison\Richarlison,br BRA,FW,Everton,22,1997,34.1,40.3,1.55,5.22,17.2,21.3,5.31,39.7,1.94,3.14,61.7,2.05,0.06,29.2,229.3,133.3,44.2,27.5,62.2,2.64,2.90,Matches
386,Diego Rico\Diego-Rico,es ESP,DF,Bournemouth,26,1993,25.9,70.5,3.75,24.8,29.7,18.9,0.50,56.1,0.73,1.54,47.5,0.89,0.19,33.3,155.5,84.5,34.5,32.4,93.8,0.50,0.81,Matches
387,Ja?ro Riedewald\Jairo-Riedewald,nl NED,DFMF,Crystal Palace,22,1996,8.5,56.7,4.12,17.4,30.2,11.9,0.94,48.0,1.29,1.76,73.3,1.29,0.12,30.9,125.9,67.9,32.9,29.8,90.4,0.94,0.94,Matches
388,Matt Ritchie\Matt-Ritchie,sco SCO,DFMF,Newcastle Utd,29,1989,14.6,58.2,3.15,15.5,23.9,21.8,0.96,47.7,0.75,1.10,68.8,0.82,0.00,32.3,193.7,94.5,38.0,31.6,83.1,0.48,0.75,Matches
389,Roberto\Roberto,es ESP,GK,West Ham,33,1986,7.6,34.9,30.9,34.6,0.39,0.00,0.00,24.7,0.00,0.00,,0.00,0.00,13.9,77.5,48.6,11.2,11.1,98.8,0.00,0.00,Matches
390,Patrick Roberts\Patrick-Roberts,eng ENG,MFFW,Norwich City,22,1997,0.3,43.3,0.00,6.67,30.0,10.0,0.00,40.0,10.0,10.0,100.0,10.0,0.00,46.7,366.7,253.3,40.0,36.7,91.7,0.00,0.00,Matches
391,Andrew Robertson\Andrew-Robertson,sco SCO,DF,Liverpool,25,1994,34.6,94.4,2.89,19.8,46.8,35.2,2.75,83.2,0.69,1.39,50.0,0.87,0.00,62.5,329.7,204.0,70.5,65.8,93.4,1.13,0.58,Matches
392,Callum Robinson\Callum-Robinson,ie IRL,FW,Sheffield Utd,24,1995,7.5,30.7,0.00,3.20,12.8,16.5,4.00,29.5,0.93,2.00,46.7,1.20,0.00,23.5,139.5,69.3,48.8,22.0,45.1,1.87,2.27,Matches
393,Jack Robinson\Jack-Robinson,eng ENG,DF,Sheffield Utd,25,1993,5.6,59.3,5.71,25.0,31.3,6.25,0.00,54.8,0.36,0.36,100.0,0.36,0.00,33.2,168.0,89.3,32.9,32.0,97.3,0.89,0.36,Matches
394,Rodri\Rodri,es ESP,MF,Manchester City,23,1996,27.6,100.6,3.22,20.5,68.8,17.7,1.05,99.8,0.91,1.12,80.6,0.94,0.00,75.0,346.4,188.6,82.1,79.4,96.7,0.36,0.76,Matches
395,Jay Rodriguez\Jay-Rodriguez,eng ENG,FW,Burnley,30,1989,22.4,35.9,0.85,3.30,16.0,18.2,4.11,35.3,0.85,1.88,45.2,0.98,0.04,20.4,120.4,52.9,48.8,25.0,51.3,2.86,1.83,Matches
396,Jack Rodwell\Jack-Rodwell,eng ENG,MF,Sheffield Utd,28,1991,0.2,15.0,5.00,15.0,0.00,0.00,0.00,15.0,0.00,0.00,,0.00,0.00,5.00,35.0,35.0,5.00,5.00,100.0,0.00,0.00,Matches
397,Marcos Rojo\Marcos-Rojo,ar ARG,DF,Manchester Utd,29,1990,1.4,50.0,6.43,17.1,25.0,8.57,2.14,42.9,0.00,0.71,0.0,0.00,0.00,27.9,143.6,62.1,29.3,28.6,97.6,0.71,0.00,Matches
398,Oriol Romeu\Oriol-Romeu,es ESP,MF,Southampton,27,1991,20.7,60.9,3.09,14.0,39.7,10.0,0.19,60.0,0.63,0.77,81.3,0.63,0.00,35.5,152.8,78.6,37.1,35.2,94.8,0.43,0.39,Matches
399,Danny Rose\Danny-Rose,eng ENG,DF,Tottenham,29,1990,9.9,68.9,4.75,19.8,34.4,19.6,1.31,60.0,1.11,2.22,50.0,1.41,0.10,44.7,250.4,144.4,43.2,41.9,97.0,0.51,0.71,Matches
400,Danny Rose\Danny-Rose,eng ENG,DF,Newcastle Utd,29,1990,9.6,52.6,2.60,19.0,28.5,8.44,0.42,46.8,0.31,0.63,50.0,0.31,0.00,30.5,142.3,77.4,32.5,30.2,92.9,0.21,0.42,Matches
401,Antonio Rüdiger\Antonio-Rudiger,de GER,DF,Chelsea,26,1993,19.0,86.4,10.2,42.7,47.6,3.53,0.74,84.8,0.00,0.00,,0.00,0.00,59.8,349.6,202.3,63.2,62.8,99.3,0.11,0.26,Matches
402,Lukas Rupp\Lukas-Rupp,de GER,FWMF,Norwich City,28,1991,7.7,44.4,2.47,12.3,22.9,11.8,1.95,43.5,1.17,1.95,60.0,1.17,0.00,30.0,146.5,53.0,36.5,28.1,76.9,1.69,1.69,Matches
403,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,27,1992,38.0,40.7,34.2,40.6,0.16,0.03,0.03,32.1,0.00,0.00,,0.00,0.00,23.6,104.0,48.9,22.2,22.1,99.5,0.03,0.00,Matches
404,Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,MFFW,Newcastle Utd,22,1997,20.7,38.4,0.43,6.57,16.1,20.9,3.86,38.0,4.93,7.25,68.0,5.12,0.14,37.1,377.8,260.6,37.3,28.2,75.4,2.56,2.95,Matches
405,Romain Sa?ss\Romain-Saiss,ma MAR,DF,Wolves,29,1990,30.1,64.2,5.81,30.8,33.5,2.92,0.86,62.8,0.23,0.30,77.8,0.27,0.03,35.1,156.1,83.4,39.9,38.7,97.0,0.20,0.27,Matches
