Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
406,Bukayo Saka\Bukayo-Saka,eng ENG,DFFW,Arsenal,17,2001,19.5,33.8,43.3,78.1,551.8,160.6,17.3,19.6,88.0,13.8,16.8,82.3,2.10,4.31,48.8,0.26,0.18,0.08,1.13,1.95,1.08,0.31,3.13,Matches
407,Mamadou Sakho\Mamadou-Sakho,fr FRA,DF,Crystal Palace,29,1990,10.3,43.8,50.1,87.4,900.6,336.1,13.7,15.0,91.0,22.3,24.8,90.2,7.28,9.42,77.3,0.00,0.01,-0.01,0.10,2.33,0.10,0.00,2.52,Matches
408,Mohamed Salah\Mohamed-Salah,eg EGY,FW,Liverpool,27,1992,32.0,23.3,31.4,74.3,350.8,93.2,13.8,16.9,81.5,7.66,9.84,77.8,1.34,2.59,51.8,0.31,0.23,0.08,1.69,1.28,1.88,0.19,3.31,Matches
409,Mbwana Samatta\Mbwana-Samatta,tz TAN,FW,Aston Villa,26,1992,10.5,12.1,17.0,70.9,179.3,27.0,7.52,9.52,79.0,3.43,4.95,69.2,0.86,1.52,56.3,0.00,0.02,-0.02,0.67,0.57,0.29,0.10,0.86,Matches
410,Carlos Sánchez\Carlos-Sanchez,co COL,MFDF,West Ham,33,1986,1.3,34.6,42.3,81.8,634.6,167.7,12.3,13.8,88.9,16.9,20.8,81.5,4.62,6.92,66.7,0.00,0.00,0.00,0.00,1.54,0.00,0.00,1.54,Matches
411,Davinson Sánchez\Davinson-Sanchez,co COL,DF,Tottenham,23,1996,27.0,48.1,55.4,86.8,1038.1,296.8,12.7,13.8,92.0,27.0,29.1,92.6,8.19,11.6,70.6,0.00,0.00,0.00,0.04,1.81,0.00,0.00,2.07,Matches
412,Leroy Sané\Leroy-Sane,de GER,FW,Manchester City,23,1996,0.1,60.0,70.0,85.7,910.0,130.0,30.0,40.0,75.0,30.0,30.0,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
413,Ismaila Sarr\Ismaila-Sarr,sn SEN,FWMF,Watford,21,1998,22.5,19.5,26.8,72.8,299.7,80.6,11.5,13.8,83.0,6.13,8.67,70.8,1.29,2.67,48.3,0.18,0.14,0.04,1.16,0.62,1.42,0.67,1.64,Matches
414,Fabian Schär\Fabian-Schar,ch SUI,DFMF,Newcastle Utd,27,1991,18.6,31.0,41.2,75.1,784.8,334.8,9.09,10.4,87.6,13.2,14.9,88.8,8.33,15.2,55.0,0.00,0.01,-0.01,0.22,3.87,0.22,0.05,2.47,Matches
415,Ezequiel Schelotto\Ezequiel-Schelotto,it ITA,DF,Brighton,30,1989,4.0,30.3,42.3,71.6,518.8,177.8,13.3,17.5,75.7,14.0,17.0,82.4,2.75,5.75,47.8,0.00,0.00,0.00,0.00,1.00,0.75,0.25,2.25,Matches
416,Jeffrey Schlupp\Jeffrey-Schlupp,gh GHA,MFDF,Crystal Palace,26,1992,11.5,22.3,29.7,74.9,371.0,111.8,11.0,12.8,85.7,9.04,12.0,75.4,1.74,3.83,45.5,0.09,0.10,-0.01,0.61,2.61,0.35,0.09,2.43,Matches
417,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,32,1986,38.0,23.8,31.0,76.7,735.0,413.8,3.11,3.11,100.0,11.0,11.1,99.1,9.63,16.7,57.7,0.00,0.01,-0.01,0.08,0.11,0.00,0.00,0.05,Matches
418,Morgan Schneiderlin\Morgan-Schneiderlin,fr FRA,MF,Everton,29,1989,11.1,44.5,51.1,87.1,936.1,265.4,16.2,17.7,91.8,19.9,22.2,89.8,7.93,10.0,79.3,0.00,0.02,-0.02,0.36,5.23,0.63,0.09,5.41,Matches
419,Ryan Sessegnon\Ryan-Sessegnon,eng ENG,DF,Tottenham,19,2000,3.8,38.2,51.3,74.4,631.8,243.4,20.5,23.4,87.6,15.3,18.7,81.7,2.11,7.11,29.6,0.00,0.03,-0.03,0.53,3.42,0.53,0.26,4.47,Matches
420,Xherdan Shaqiri\Xherdan-Shaqiri,ch SUI,FW,Liverpool,27,1991,2.1,42.9,51.9,82.6,779.5,251.9,21.9,25.2,86.8,13.3,14.8,90.3,7.14,11.0,65.2,0.00,0.10,-0.10,1.43,5.24,1.43,0.95,6.67,Matches
421,Billy Sharp\Billy-Sharp,eng ENG,FW,Sheffield Utd,33,1986,11.7,13.8,19.0,73.0,204.1,41.4,7.95,9.83,80.9,4.96,6.32,78.4,0.51,1.11,46.2,0.17,0.23,-0.06,1.28,0.51,0.68,0.17,1.28,Matches
422,Luke Shaw\Luke-Shaw,eng ENG,DF,Manchester Utd,24,1995,19.3,58.1,67.2,86.5,872.4,322.7,32.5,35.0,92.9,22.3,25.5,87.2,2.33,4.30,54.2,0.00,0.08,-0.08,1.04,3.11,1.30,0.31,5.70,Matches
423,Jonjo Shelvey\Jonjo-Shelvey,eng ENG,MF,Newcastle Utd,27,1992,23.5,33.6,46.4,72.4,824.4,271.5,9.49,11.0,86.1,14.6,17.4,84.1,9.23,16.9,54.7,0.09,0.15,-0.07,1.79,5.40,0.85,0.17,4.89,Matches
424,Djibril Sidibé\Djibril-Sidibe,fr FRA,DF,Everton,27,1992,20.3,44.8,57.4,78.0,888.9,330.1,16.8,20.0,84.2,21.5,25.8,83.4,6.01,9.70,61.9,0.20,0.10,0.10,0.94,2.76,0.99,0.54,5.37,Matches
425,Gylfi Sigur?sson\Gylfi-Sigurdsson,is ISL,MF,Everton,29,1989,28.4,30.5,39.0,78.2,594.8,176.6,12.1,14.1,85.5,13.1,15.4,85.4,4.79,8.17,58.6,0.11,0.14,-0.04,1.62,3.35,0.95,0.18,3.31,Matches
426,Bernardo Silva\Bernardo-Silva,pt POR,FWMF,Manchester City,24,1994,22.6,55.8,64.2,87.0,932.7,181.9,28.6,31.2,91.8,21.1,24.1,87.7,5.13,6.55,78.4,0.31,0.24,0.07,2.26,2.96,1.81,0.40,4.38,Matches
427,David Silva\David-Silva,es ESP,MF,Manchester City,33,1986,20.3,65.0,74.5,87.2,1033.1,207.3,34.0,38.1,89.4,25.3,27.4,92.1,4.19,5.37,78.0,0.49,0.27,0.23,2.27,4.38,3.10,0.05,6.90,Matches
428,Jack Simpson\Jack-Simpson,eng ENG,DF,Bournemouth,22,1996,2.7,25.9,37.0,70.0,447.4,165.2,13.0,14.1,92.1,10.4,14.8,70.0,2.22,5.93,37.5,0.00,0.00,0.00,0.00,1.85,0.00,0.00,1.85,Matches
429,Moussa Sissoko\Moussa-Sissoko,fr FRA,MF,Tottenham,29,1989,27.2,40.7,47.0,86.5,707.2,144.9,19.0,21.3,89.1,16.2,18.4,88.2,4.30,5.40,79.6,0.04,0.04,-0.00,0.59,2.72,0.44,0.07,3.24,Matches
430,Oliver Skipp\Oliver-Skipp,eng ENG,MFDF,Tottenham,18,2000,0.9,36.7,42.2,86.8,695.6,168.9,16.7,18.9,88.2,13.3,15.6,85.7,6.67,7.78,85.7,0.00,0.00,0.00,0.00,4.44,0.00,0.00,3.33,Matches
431,William Smallbone\William-Smallbone,ie IRL,MF,Southampton,19,2000,4.4,39.8,47.7,83.3,709.3,151.4,18.4,21.1,87.1,16.6,19.1,86.9,4.09,5.91,69.2,0.45,0.07,0.39,0.68,2.73,0.68,0.23,2.95,Matches
432,Adam Smith\Adam-Smith,eng ENG,DF,Bournemouth,28,1991,22.8,37.1,46.5,79.6,601.4,222.7,19.7,21.8,90.5,14.1,16.9,83.2,2.63,5.66,46.5,0.04,0.04,0.00,0.44,2.68,0.44,0.09,2.98,Matches
433,Emile Smith-Rowe\Emile-Smith-Rowe,eng ENG,MF,Arsenal,19,2000,1.1,27.3,32.7,83.3,355.5,59.1,17.3,19.1,90.5,8.18,8.18,100.0,0.91,2.73,33.3,0.00,0.00,0.00,0.00,2.73,0.00,0.00,0.00,Matches
434,Robert Snodgrass\Robert-Snodgrass,sco SCO,MFFW,West Ham,31,1987,16.8,25.9,37.8,68.5,475.5,159.0,12.3,15.2,80.5,8.69,10.8,80.2,4.29,9.64,44.4,0.30,0.17,0.13,1.96,1.79,0.83,0.12,2.80,Matches
435,Cédric Soares\Cedric-Soares,pt POR,DF,Arsenal,27,1991,2.8,33.6,47.5,70.7,622.9,185.7,13.2,16.4,80.4,15.7,21.1,74.6,3.57,7.50,47.6,0.00,0.00,0.00,0.36,1.79,0.71,0.36,3.93,Matches
436,Cédric Soares\Cedric-Soares,pt POR,DF,Southampton,27,1991,14.5,36.0,49.9,72.1,628.1,290.3,18.5,21.0,87.9,12.8,17.0,75.2,4.14,10.4,39.7,0.07,0.08,-0.01,0.97,2.41,1.31,0.83,2.69,Matches
437,Dominic Solanke\Dominic-Solanke,eng ENG,FWMF,Bournemouth,21,1997,18.3,17.3,23.4,73.9,242.0,49.8,10.5,12.2,86.2,4.59,7.16,64.1,0.87,1.58,55.2,0.05,0.05,0.01,0.66,1.48,0.55,0.11,1.42,Matches
438,Tomáš Souèek\Tomas-Soucek,cz CZE,MF,West Ham,24,1995,11.6,23.6,33.8,69.9,418.3,100.3,10.5,14.4,73.1,9.66,13.3,72.7,2.59,4.22,61.2,0.00,0.04,-0.04,0.17,2.16,0.34,0.00,1.98,Matches
439,Ça?lar Söyüncü\Caglar-Soyuncu,tr TUR,DF,Leicester City,23,1996,33.7,60.4,66.4,90.9,1236.2,358.3,19.4,20.7,93.6,32.6,34.4,94.9,8.04,10.5,76.6,0.03,0.01,0.02,0.12,3.35,0.09,0.00,2.37,Matches
440,Dennis Srbeny\Dennis-Srbeny,de GER,MFFW,Norwich City,25,1994,0.5,34.0,46.0,73.9,390.0,72.0,22.0,30.0,73.3,10.0,12.0,83.3,0.00,0.00,,0.00,0.00,0.00,0.00,6.00,0.00,0.00,2.00,Matches
441,Jack Stacey\Jack-Stacey,eng ENG,DF,Bournemouth,23,1996,17.2,32.6,45.3,71.8,541.6,232.8,16.0,18.8,84.9,13.1,17.2,76.3,2.73,6.34,43.1,0.12,0.13,-0.01,0.58,2.44,0.35,0.12,2.79,Matches
442,Junior Stanislas\Junior-Stanislas,eng ENG,MFDF,Bournemouth,29,1989,7.9,28.1,39.2,71.6,458.1,172.8,14.9,18.2,81.9,9.37,12.8,73.3,2.78,6.08,45.8,0.00,0.10,-0.10,1.39,1.77,1.52,0.13,3.92,Matches
443,Jed Steer\Jed-Steer,eng ENG,GK,Aston Villa,26,1992,0.1,10.0,20.0,50.0,260.0,90.0,0.00,0.00,,10.0,10.0,100.0,0.00,10.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
444,Dale Stephens\Dale-Stephens,eng ENG,MF,Brighton,30,1989,28.1,50.6,58.4,86.6,1065.9,249.9,15.8,17.7,89.4,24.8,27.3,90.9,9.25,12.1,76.7,0.04,0.04,-0.00,0.64,5.09,0.68,0.07,4.91,Matches
445,Jack Stephens\Jack-Stephens,eng ENG,DF,Southampton,25,1994,27.2,33.3,44.1,75.6,763.1,273.3,8.60,9.93,86.7,17.6,20.6,85.7,6.69,12.6,53.2,0.11,0.05,0.06,0.29,3.09,0.37,0.00,3.05,Matches
446,Raheem Sterling\Raheem-Sterling,eng ENG,FW,Manchester City,24,1994,29.5,33.3,41.3,80.8,469.5,94.7,21.2,23.8,88.9,10.2,12.5,81.4,1.25,2.14,58.7,0.03,0.24,-0.20,1.59,1.05,1.83,0.20,2.95,Matches
447,Enda Stevens\Enda-Stevens,ie IRL,DF,Sheffield Utd,29,1990,37.2,37.8,50.9,74.1,652.3,265.3,19.5,21.9,88.8,14.1,18.1,78.3,3.71,8.31,44.7,0.11,0.13,-0.02,0.89,2.82,1.37,0.27,4.60,Matches
448,Marco Stiepermann\Marco-Stiepermann,de GER,MF,Norwich City,28,1991,13.1,22.2,30.9,71.9,317.1,91.0,13.1,16.3,80.4,6.49,8.55,75.9,1.45,2.90,50.0,0.00,0.04,-0.04,0.84,2.44,0.61,0.08,2.90,Matches
449,John Stones\John-Stones,eng ENG,DF,Manchester City,25,1994,12.5,77.3,81.3,95.1,1685.7,474.2,21.0,21.9,96.0,42.6,44.7,95.3,13.5,14.2,95.5,0.00,0.01,-0.01,0.16,6.48,0.08,0.00,4.32,Matches
450,Isaac Success\Isaac-Success,ng NGA,FWMF,Watford,23,1996,0.8,17.5,26.3,66.7,196.3,46.3,10.0,15.0,66.7,2.50,5.00,50.0,1.25,1.25,100.0,0.00,0.13,-0.13,1.25,0.00,1.25,0.00,1.25,Matches
451,Ki Sung-yueng\Ki-Sung-yueng,kr KOR,MF,Newcastle Utd,30,1989,1.5,39.3,44.7,88.1,846.7,182.7,16.7,19.3,86.2,12.7,13.3,95.0,8.67,10.7,81.3,0.00,0.07,-0.07,1.33,2.67,0.00,0.00,0.67,Matches
452,Andrew Surman\Andrew-Surman,eng ENG,MF,Bournemouth,32,1986,2.6,39.2,48.8,80.3,753.5,187.3,15.0,18.8,79.6,16.5,19.2,86.0,5.77,8.85,65.2,0.00,0.00,0.00,0.38,2.31,0.38,0.00,2.69,Matches
453,Sam Surridge\Sam-Surridge,eng ENG,FW,Bournemouth,21,1998,0.3,13.3,33.3,40.0,213.3,73.3,6.67,20.0,33.3,6.67,13.3,50.0,0.00,0.00,,0.00,0.00,0.00,0.00,3.33,3.33,0.00,3.33,Matches
454,Japhet Tanganga\Japhet-Tanganga,eng ENG,DF,Tottenham,20,1999,5.8,32.4,40.0,81.0,559.0,189.0,16.4,18.1,90.5,12.6,14.3,88.0,3.28,5.34,61.3,0.00,0.00,0.00,0.00,1.55,0.00,0.00,1.90,Matches
455,Matt Targett\Matt-Targett,eng ENG,DF,Aston Villa,23,1995,25.5,35.1,47.8,73.3,646.0,287.3,16.5,18.5,88.8,14.0,18.2,76.6,4.00,8.94,44.7,0.08,0.11,-0.03,1.02,2.98,1.18,0.47,4.63,Matches
456,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,26,1992,38.0,24.0,32.9,73.0,559.2,192.6,6.26,7.76,80.7,11.8,14.2,82.9,5.71,10.2,56.2,0.05,0.06,-0.01,0.37,1.79,0.24,0.00,1.82,Matches
457,Charlie Taylor\Charlie-Taylor,eng ENG,DF,Burnley,25,1993,21.6,33.6,47.9,70.1,620.7,261.2,15.2,17.7,85.9,14.2,17.6,80.5,3.75,10.2,36.7,0.05,0.06,-0.01,0.60,2.22,1.02,0.79,2.87,Matches
458,Neil Taylor\Neil-Taylor,wal WAL,DF,Aston Villa,30,1989,12.1,33.9,42.4,79.9,566.8,238.1,16.0,17.3,92.8,15.6,18.5,84.4,1.65,4.88,33.9,0.00,0.02,-0.02,0.41,1.90,0.33,0.08,3.22,Matches
459,Nathan Tella\Nathan-Tella,eng ENG,FW,Southampton,20,1999,0.0,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
460,Alexander Tettey\Alexander-Tettey,no NOR,MFDF,Norwich City,33,1986,26.0,42.3,47.8,88.6,738.5,156.7,20.5,22.0,92.8,17.2,19.0,90.7,4.15,5.54,75.0,0.04,0.03,0.01,0.19,2.08,0.15,0.00,1.69,Matches
461,Jordan Thomas\Jordan-Thomas,eng ENG,FW,Norwich City,,,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,,Matches
462,Luke Thomas\Luke-Thomas,eng ENG,DF,Leicester City,,,3.0,52.0,63.3,82.1,897.0,274.7,26.7,29.3,90.9,19.0,23.0,82.6,5.67,8.33,68.0,0.33,0.30,0.03,3.00,2.67,3.00,2.67,4.67,Matches
463,Max Thompson\Max-Thompson,eng ENG,FW,Burnley,17,2002,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,,Matches
464,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,22,1997,31.4,46.3,57.5,80.7,867.9,220.0,19.9,22.6,88.0,18.9,22.4,84.5,6.46,10.5,61.5,0.19,0.17,0.02,1.66,5.00,1.18,0.22,5.29,Matches
465,Kieran Tierney\Kieran-Tierney,sco SCO,DF,Arsenal,22,1997,11.0,37.6,49.5,76.1,729.8,233.5,15.7,17.9,87.8,16.5,20.6,79.7,5.00,8.82,56.7,0.09,0.10,-0.01,0.55,2.00,0.73,0.45,3.64,Matches
466,James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,30,1989,17.6,28.7,35.6,80.7,677.4,195.9,6.31,7.16,88.1,15.1,16.5,91.4,6.99,11.1,62.8,0.06,0.01,0.05,0.11,1.19,0.06,0.00,0.85,Matches
467,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Chelsea,21,1997,14.3,68.6,76.8,89.3,1473.9,410.3,17.3,18.5,93.6,40.1,42.4,94.6,10.9,14.8,73.6,0.00,0.01,-0.01,0.28,3.99,0.28,0.00,2.59,Matches
468,Lucas Torreira\Lucas-Torreira,uy URU,MF,Arsenal,23,1996,16.8,47.2,53.9,87.5,934.4,196.8,15.5,17.1,90.6,23.9,26.3,90.9,7.26,8.99,80.8,0.06,0.07,-0.01,0.83,2.62,0.30,0.00,3.39,Matches
469,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Crystal Palace,28,1991,2.0,14.5,23.5,61.7,231.0,68.5,9.50,12.5,76.0,3.00,7.00,42.9,2.00,3.00,66.7,0.00,0.00,0.00,0.00,1.50,1.00,0.00,1.50,Matches
470,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Everton,28,1991,3.2,13.1,19.4,67.7,177.8,37.5,8.44,10.9,77.1,3.75,5.00,75.0,0.63,2.50,25.0,0.00,0.03,-0.03,1.25,0.63,0.94,0.00,1.56,Matches
471,Andros Townsend\Andros-Townsend,eng ENG,MF,Crystal Palace,28,1991,14.4,22.6,31.9,70.7,367.6,129.6,12.4,14.3,86.9,7.22,9.51,75.9,2.29,6.04,37.9,0.07,0.14,-0.07,0.90,1.60,1.67,0.83,2.57,Matches
472,Adama Traoré\Adama-Traore,es ESP,FWMF,Wolves,23,1996,28.9,21.5,32.6,65.9,373.3,97.0,10.9,14.1,77.6,7.79,11.6,67.2,2.39,4.67,51.1,0.31,0.23,0.08,1.73,1.56,1.56,1.11,2.21,Matches
473,Mark Travers\Mark-Travers,ie IRL,GK,Bournemouth,20,1999,1.0,23.0,32.0,71.9,692.0,479.0,6.00,6.00,100.0,8.00,9.00,88.9,9.00,17.0,52.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
474,Trézéguet\Trezeguet,eg EGY,FWMF,Aston Villa,24,1994,21.7,13.6,20.5,66.3,218.7,59.3,7.47,9.08,82.2,4.70,6.82,68.9,1.06,3.23,32.9,0.05,0.04,0.01,0.83,0.69,0.55,0.32,1.52,Matches
475,Leandro Trossard\Leandro-Trossard,be BEL,FWMF,Brighton,24,1994,22.3,25.4,35.7,71.3,492.0,160.4,10.9,13.9,78.1,10.6,13.9,76.7,3.68,6.19,59.4,0.13,0.18,-0.04,1.70,2.02,1.35,0.36,4.57,Matches
476,Tom Trybull\Tom-Trybull,de GER,MF,Norwich City,26,1993,12.6,43.7,47.4,92.3,769.1,203.1,20.7,21.6,96.0,19.0,20.4,93.0,3.57,4.44,80.4,0.00,0.01,-0.01,0.16,3.17,0.00,0.00,1.98,Matches
477,Axel Tuanzebe\Axel-Tuanzebe,eng ENG,DF,Manchester Utd,21,1997,2.1,60.5,67.1,90.1,1111.0,314.3,25.7,27.6,93.1,26.2,28.1,93.2,8.10,10.0,81.0,0.00,0.00,0.00,0.00,3.81,0.00,0.00,2.38,Matches
478,Yan Valery\Yan-Valery,fr FRA,DF,Southampton,20,1999,8.7,22.8,36.6,62.3,381.7,143.4,11.5,14.0,82.0,9.43,14.7,64.1,1.61,6.09,26.4,0.00,0.08,-0.08,0.23,0.69,0.23,0.11,1.72,Matches
479,Jesús Vallejo\Jesus-Vallejo,es ESP,DF,Wolves,22,1997,1.8,45.0,57.8,77.9,1008.3,336.7,11.7,13.3,87.5,21.7,25.6,84.8,11.1,18.3,60.6,0.00,0.00,0.00,0.00,3.89,0.56,0.00,2.78,Matches
480,Jamie Vardy\Jamie-Vardy,eng ENG,FW,Leicester City,32,1987,33.7,9.32,13.7,68.0,141.8,23.2,5.25,6.82,77.0,2.88,4.15,69.3,0.71,1.28,55.8,0.15,0.16,-0.01,0.83,0.42,0.50,0.15,0.71,Matches
481,Indiana Vassilev\Indiana-Vassilev,us USA,FWMF,Aston Villa,18,2001,0.6,13.3,18.3,72.7,133.3,6.67,10.0,13.3,75.0,1.67,1.67,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
482,Jan Vertonghen\Jan-Vertonghen,be BEL,DF,Tottenham,32,1987,18.3,50.8,60.8,83.6,1054.6,325.4,16.2,17.9,90.8,26.5,29.3,90.5,7.81,12.3,63.3,0.05,0.05,0.00,0.16,3.01,0.00,0.00,2.73,Matches
483,Jannik Vestergaard\Jannik-Vestergaard,dk DEN,DF,Southampton,26,1992,16.6,38.6,48.1,80.2,777.0,251.6,12.1,13.9,87.4,20.6,24.0,85.7,5.24,9.34,56.1,0.00,0.01,-0.01,0.24,3.43,0.24,0.00,2.47,Matches
484,Rúben Vinagre\Ruben-Vinagre,pt POR,DF,Wolves,20,1999,7.2,35.7,47.8,74.7,595.0,179.6,19.3,22.1,87.4,13.2,16.5,79.8,2.92,6.25,46.7,0.00,0.07,-0.07,0.69,1.39,0.83,0.83,0.83,Matches
485,Jake Vokins\Jake-Vokins,eng ENG,DF,Southampton,19,2000,1.0,60.0,73.0,82.2,958.0,340.0,32.0,35.0,91.4,22.0,26.0,84.6,4.00,9.00,44.4,0.00,0.10,-0.10,1.00,7.00,2.00,1.00,4.00,Matches
486,Mario Vranèiæ\Mario-Vrancic,ba BIH,MF,Norwich City,30,1989,7.1,47.5,60.8,78.0,827.6,246.9,23.4,26.1,89.7,18.2,22.1,82.2,4.79,10.1,47.2,0.00,0.15,-0.15,1.13,4.51,0.85,0.00,6.90,Matches
487,Matìj Vydra\Matej-Vydra,cz CZE,FW,Burnley,27,1992,9.1,11.2,15.2,73.9,125.6,19.5,7.69,9.45,81.4,2.53,3.85,65.7,0.11,0.22,50.0,0.11,0.12,-0.01,0.88,0.66,0.00,0.00,0.22,Matches
488,Theo Walcott\Theo-Walcott,eng ENG,MFFW,Everton,30,1989,14.3,18.6,28.3,65.7,301.3,88.3,10.2,13.4,76.0,6.64,9.44,70.4,1.47,3.22,45.7,0.21,0.20,0.01,1.33,1.33,1.26,0.42,2.38,Matches
489,Kyle Walker\Kyle-Walker,eng ENG,DF,Manchester City,29,1990,26.6,70.8,80.6,87.9,1447.1,320.2,25.5,27.6,92.4,33.1,36.3,91.3,11.7,14.5,80.3,0.15,0.08,0.07,0.64,8.38,1.02,0.23,5.75,Matches
490,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Southampton,22,1997,7.8,43.2,55.9,77.3,678.6,198.5,23.3,25.5,91.5,15.6,20.1,77.7,3.21,7.05,45.5,0.00,0.06,-0.06,0.51,2.05,1.15,0.00,2.18,Matches
491,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Tottenham,22,1997,2.7,67.8,79.3,85.5,1131.1,282.6,34.4,35.9,95.9,27.4,30.7,89.2,5.56,9.63,57.7,0.00,0.04,-0.04,0.74,3.33,0.37,0.00,3.70,Matches
492,Aaron Wan-Bissaka\Aaron-Wan-Bissaka,eng ENG,DF,Manchester Utd,21,1997,34.1,49.1,60.5,81.2,729.8,278.1,28.9,31.9,90.7,16.8,20.7,80.9,2.26,4.52,50.0,0.12,0.09,0.03,0.76,3.11,0.59,0.29,4.19,Matches
493,Victor Wanyama\Victor-Wanyama,ke KEN,MF,Tottenham,28,1991,0.3,60.0,63.3,94.7,1273.3,423.3,20.0,23.3,85.7,20.0,20.0,100.0,13.3,13.3,100.0,0.00,0.00,0.00,0.00,10.0,0.00,0.00,16.7,Matches
494,Joel Ward\Joel-Ward,eng ENG,DF,Crystal Palace,29,1989,26.5,35.2,47.5,74.0,588.4,265.7,18.5,20.7,89.2,12.0,15.8,75.7,3.62,8.00,45.3,0.00,0.01,-0.01,0.19,2.68,0.57,0.26,3.02,Matches
495,James Ward-Prowse\James-Ward-Prowse,eng ENG,MFDF,Southampton,24,1994,38.0,38.4,51.9,74.0,730.6,221.9,15.7,17.9,87.8,16.5,19.7,83.6,5.24,12.3,42.6,0.08,0.14,-0.06,1.61,3.50,0.89,0.13,3.95,Matches
496,Kelland Watts\Kelland-Watts,eng ENG,DF,Newcastle Utd,19,1999,0.2,5.00,20.0,25.0,85.0,15.0,0.00,0.00,,5.00,5.00,100.0,0.00,15.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
497,Adam Webster\Adam-Webster,eng ENG,DF,Brighton,24,1995,29.6,52.3,61.6,84.8,1140.3,390.0,15.5,17.1,90.5,26.6,29.7,89.7,9.93,14.0,71.0,0.03,0.03,0.00,0.34,3.07,0.17,0.03,3.18,Matches
498,Danny Welbeck\Danny-Welbeck,eng ENG,FWMF,Watford,28,1990,9.1,14.4,18.5,78.0,196.8,49.1,9.01,10.8,83.7,4.29,5.49,78.0,0.44,0.77,57.1,0.00,0.02,-0.02,0.33,1.10,0.44,0.00,1.43,Matches
499,Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,29,1990,35.0,39.5,53.0,74.5,813.0,238.2,14.9,17.1,87.3,16.2,19.5,83.1,7.49,14.7,50.9,0.17,0.14,0.03,1.46,4.51,0.80,0.17,4.29,Matches
500,Connor Wickham\Connor-Wickham,eng ENG,FWMF,Crystal Palace,26,1993,1.1,26.4,40.0,65.9,400.0,81.8,16.4,22.7,72.0,5.45,9.09,60.0,2.73,3.64,75.0,0.91,0.45,0.45,1.82,1.82,0.00,0.00,1.82,Matches
501,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,28,1990,32.6,45.3,49.9,90.7,781.3,142.0,21.9,23.8,91.9,18.6,19.7,94.5,4.05,4.75,85.2,0.00,0.04,-0.04,0.55,4.02,0.67,0.00,3.13,Matches
502,Jetro Willems\Jetro-Willems,nl NED,DF,Newcastle Utd,25,1994,16.6,24.6,35.1,70.1,451.4,216.9,9.94,11.6,85.9,11.9,16.1,73.8,2.53,5.96,42.4,0.12,0.07,0.05,0.96,1.81,0.78,0.30,2.47,Matches
503,Brandon Williams\Brandon-Williams,eng ENG,DF,Manchester Utd,18,2000,11.2,47.4,56.8,83.5,755.7,240.4,26.0,28.8,90.4,17.9,20.6,87.0,2.86,5.80,49.2,0.00,0.05,-0.05,1.16,2.50,1.70,0.36,4.11,Matches
504,Neco Williams\Neco-Williams,wal WAL,DF,Liverpool,18,2001,2.6,63.5,78.8,80.5,1229.2,269.2,25.0,26.9,92.9,29.2,34.6,84.4,8.46,13.8,61.1,0.00,0.04,-0.04,0.77,2.31,1.15,0.38,2.69,Matches
505,Willian\Willian,br BRA,FW,Chelsea,30,1988,28.9,43.1,55.4,77.9,777.0,178.7,22.0,25.4,86.8,14.2,17.2,82.7,5.95,10.3,57.5,0.24,0.24,0.00,2.46,2.46,2.35,0.42,4.98,Matches
506,Joe Willock\Joe-Willock,eng ENG,MFFW,Arsenal,19,1999,9.5,31.5,38.7,81.3,548.9,152.4,15.1,17.5,86.1,12.0,13.8,87.0,3.26,5.58,58.5,0.11,0.08,0.02,1.26,3.26,0.84,0.21,3.58,Matches
