Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
348,Michael Obafemi\Michael-Obafemi,ie IRL,FW,Southampton,19,2000,7.4,15.1,19.5,77.8,193.9,29.2,9.46,11.2,84.3,3.65,4.59,79.4,0.81,0.95,85.7,0.27,0.16,0.11,1.35,0.27,0.27,0.00,0.68,Matches
349,Angelo Ogbonna\Angelo-Ogbonna,it ITA,DF,West Ham,31,1988,31.0,24.0,30.5,78.7,531.7,169.8,7.03,7.87,89.3,12.1,14.1,86.0,4.74,8.06,58.8,0.00,0.00,-0.00,0.06,1.42,0.06,0.00,1.19,Matches
350,Divock Origi\Divock-Origi,be BEL,FW,Liverpool,24,1995,8.0,19.8,27.4,72.1,310.8,43.8,11.0,14.4,76.5,6.13,8.25,74.2,1.88,3.63,51.7,0.13,0.03,0.10,0.75,0.63,1.13,0.25,1.25,Matches
351,Ben Osborn\Ben-Osborn,eng ENG,MFDF,Sheffield Utd,24,1994,6.6,27.1,39.2,69.1,440.5,111.8,14.7,17.6,83.6,8.48,11.1,76.7,3.03,7.88,38.5,0.00,0.12,-0.12,1.06,1.67,0.76,0.30,1.82,Matches
352,Nicolás Otamendi\Nicolas-Otamendi,ar ARG,DF,Manchester City,31,1988,19.1,72.3,77.9,92.7,1561.9,378.3,18.2,19.3,94.3,42.5,44.3,95.7,11.3,13.4,84.4,0.00,0.01,-0.01,0.16,3.25,0.00,0.00,2.20,Matches
353,Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,25,1993,16.5,35.9,45.3,79.1,721.5,154.8,14.3,16.7,85.8,14.9,18.1,82.6,6.06,8.73,69.4,0.06,0.07,-0.01,1.03,5.09,1.88,0.42,4.30,Matches
354,Mesut Özil\Mesut-Ozil,de GER,MF,Arsenal,30,1988,16.0,47.1,55.7,84.6,781.3,210.9,23.9,25.9,92.5,17.9,19.7,90.8,4.56,8.19,55.7,0.13,0.14,-0.01,2.25,3.75,1.56,0.06,5.50,Matches
355,Emerson Palmieri\Emerson-Palmieri,it ITA,DF,Chelsea,24,1994,11.4,61.9,74.8,82.8,998.9,275.1,33.8,37.6,89.7,22.5,27.0,83.1,4.56,8.07,56.5,0.00,0.12,-0.12,1.58,2.46,0.70,0.44,2.89,Matches
356,Sokratis Papastathopoulos\Sokratis-Papastathopoulos,gr GRE,DF,Arsenal,31,1988,18.8,46.4,51.8,89.7,1017.8,293.0,13.6,14.4,94.1,23.4,24.2,96.5,9.10,12.3,73.7,0.00,0.01,-0.01,0.05,1.38,0.05,0.00,1.17,Matches
357,Troy Parrott\Troy-Parrott,ie IRL,MF,Tottenham,17,2002,0.1,50.0,50.0,100.0,920.0,250.0,10.0,10.0,100.0,40.0,40.0,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
358,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,31,1988,38.0,14.5,22.7,63.8,593.2,405.1,1.11,1.13,97.7,4.05,4.13,98.1,9.26,17.4,53.3,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,Matches
359,Pedro\Pedro,es ESP,FW,Chelsea,32,1987,7.3,35.5,45.3,78.2,583.8,132.9,19.7,22.6,87.3,12.1,15.2,79.3,2.88,5.07,56.8,0.14,0.11,0.03,2.47,1.23,1.64,0.14,2.88,Matches
360,Jo?o Pedro\Joao-Pedro,br BRA,FWMF,Watford,17,2001,0.3,33.3,46.7,71.4,496.7,123.3,10.0,13.3,75.0,20.0,23.3,85.7,0.00,3.33,0.0,0.00,0.67,-0.67,3.33,3.33,3.33,3.33,3.33,Matches
361,Nicolas Pépé\Nicolas-Pepe,ci CIV,FW,Arsenal,24,1995,22.3,27.6,36.0,76.7,442.6,106.5,15.9,17.8,89.2,8.70,11.0,79.2,2.51,5.34,47.1,0.27,0.20,0.07,1.75,1.08,1.52,0.40,2.11,Matches
362,Andreas Pereira\Andreas-Pereira,br BRA,MFFW,Manchester Utd,23,1996,16.5,34.3,46.7,73.5,598.4,167.5,16.8,19.5,86.3,12.7,16.4,77.4,4.00,8.55,46.8,0.18,0.23,-0.05,1.88,3.27,1.03,0.24,4.00,Matches
363,Ricardo Pereira\Ricardo-Pereira,pt POR,DF,Leicester City,25,1993,28.0,54.0,67.0,80.7,903.8,348.1,26.8,30.0,89.4,22.6,27.6,82.1,4.11,7.07,58.1,0.07,0.13,-0.06,0.96,3.46,1.32,0.32,5.82,Matches
364,Roberto Pereyra\Roberto-Pereyra,ar ARG,FWMF,Watford,28,1991,18.3,29.4,35.7,82.3,475.8,108.1,15.9,18.2,87.4,10.1,11.5,87.6,2.30,3.99,57.5,0.00,0.10,-0.10,0.98,1.80,0.77,0.22,2.40,Matches
